v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61
4.150974333e+01,2.219002832e+01,9.609904527e+01,5.598656500e+00,8.416328347e+01,6.302802302e+01,3.734151339e+01,8.344302339e+01,1.283146958e+01,5.002445467e+01,5.467032838e+01,7.308791168e+01,9.959972264e+01,6.895437659e+01,4.584462634e+01,1.985687109e+01,4.401527450e+01,4.117957329e+01,1.276719389e+01,7.036846165e+01,9.791417313e+01,9.440736126e+01,1.813803142e+01,8.324700823e+01,7.210385454e+01,8.331808712e+01,1.798559593e+00,9.345434113e+01,4.300498496e+01,2.755547660e+01,7.128707680e+01,2.443798853e+01,3.795989433e+01,7.713550056e+01,2.598693913e+01,9.075942902e+01,4.562045131e+01,8.016445432e+01,3.259468364e+01,5.498020987e+01,9.639634269e+01,6.201012679e+01,6.961567114e+01,7.645966137e+01,3.163723134e+01,6.475388921e+01,6.746149769e+00,8.728445306e+01,1.612190841e+01,6.103350845e+01,3.383048273e+01,7.542608786e+01,7.621159790e+01,6.973554465e+01,6.018794217e+01,4.179807876e+01,9.391974354e+01,8.822140516e+01,7.460964113e+01,2.206112876e+01,8.599399570e+01
4.666258061e+01,6.374318402e+01,7.573905305e+01,9.214580761e+00,7.143280096e+01,2.539975233e+01,1.920476987e+01,1.952985258e+01,9.541739205e+01,1.417040175e+01,9.419872060e+01,5.542819421e+01,5.020309231e+01,7.944212032e+01,8.552941571e+01,1.837913646e+01,7.548291753e+01,4.592008180e+01,3.508556049e+01,9.334152706e+01,7.112140637e+01,8.577415363e+01,1.653061027e+01,3.345190989e+01,1.703206659e+01,3.690876933e+01,8.763400540e+00,8.639887012e+00,2.777448888e+01,1.121328149e+01,2.105770271e+01,5.058287918e+01,1.506397136e+01,1.245359103e+01,1.324328287e+00,4.524688782e+01,2.974832131e+01,5.440547790e-01,5.372816332e+01,7.165002445e+01,6.393150531e+01,6.146373843e+01,5.438246043e+01,4.822880102e+01,7.777639820e+01,1.391445799e+01,9.744411477e+01,2.124601205e+01,2.715510727e+01,5.371139910e+01,8.706662735e+01,4.351154475e+01,3.199051284e+01,1.087332781e+01,5.428054045e+01,4.829745870e+01,3.410723120e+01,1.186523571e+01,1.441442898e+01,2.950611203e+01,7.256262322e+01
2.233515309e+01,2.328480905e+01,7.910557335e+00,5.082165108e+01,9.769533354e+01,7.966236433e+01,9.079284709e+01,5.020799775e+00,3.059828064e+01,2.209533126e+00,7.599692514e+01,1.060146574e+01,4.565514739e+01,3.753763185e+01,9.412229632e+01,5.947805154e+01,9.081582263e+01,4.575471353e+01,3.635943394e+01,3.796981971e+01,6.367802796e+01,3.542437843e+01,5.680381055e+01,4.471031745e+01,2.751133575e+01,2.323606102e+01,1.583264837e+01,5.680240579e+01,7.140893226e+01,6.387785737e+00,9.114920245e+01,2.678886883e+01,5.007822181e+01,3.627357027e+01,6.297329587e+01,6.518320287e+01,1.619935614e+01,1.529401009e+01,2.540582196e+01,3.119437357e+01,9.868785569e+01,8.955863729e+01,3.918779286e+01,9.940962129e+01,2.325010433e+01,4.685374774e+01,6.833782344e+01,4.513194125e+01,5.289393256e+01,6.026237813e+01,1.525262594e+01,6.960865611e+01,2.515175766e+01,7.555080435e+01,5.083600905e+01,5.954040499e+01,5.337606889e+01,7.775390399e+01,6.620970906e+01,4.684111468e+01,8.535113934e+01
6.916223656e+01,9.914882297e+01,4.487104538e+01,7.782651505e+01,2.578692775e+01,7.811067711e+01,6.224449240e+01,6.868259715e+01,8.184478747e+01,1.705877428e+01,5.780157118e+01,3.519546148e+01,7.578125906e+01,8.371988737e+01,2.642742696e+01,3.497064237e+01,9.131253914e+01,5.805012549e+00,9.857824109e+01,4.743931563e+01,8.064213196e+01,4.591527662e+01,4.420501384e+01,1.756677709e+00,5.922960930e+01,7.547130051e+01,3.600892354e+01,3.093644212e+01,6.093159835e+01,4.934247028e+01,2.065220455e+01,6.237346949e+01,3.698331499e+01,6.637642291e+01,8.032579223e+01,2.927475114e+01,8.041423100e+01,8.629367819e+01,4.821101274e+01,1.790511484e+01,1.441785714e+01,3.747562375e+01,8.653945532e+01,6.027756033e+01,6.043684734e+01,6.901497880e+01,1.243089545e+01,1.372391982e+01,5.205054769e+00,9.026366331e+00,5.005335051e+01,8.447176049e+01,8.658406860e+01,5.968375271e+01,4.334359100e+01,5.280621046e+00,2.235511243e+00,9.367971002e+01,8.744274010e+01,2.361305615e+01,4.288262453e+01
2.244277693e+01,8.124984878e+01,1.971870036e+00,7.798361319e+01,5.156185101e+00,5.441847544e+01,3.567683818e+01,3.149576614e+01,6.026202799e-01,9.682828952e+01,8.466391488e+01,4.939643920e+01,5.302641009e+01,2.582351728e+01,1.339767175e+01,3.465729939e+01,9.396248094e+00,4.586657818e+01,5.343399749e+01,1.472301031e+01,8.504955442e+00,4.827032102e+01,8.493471462e+01,3.593393128e+01,6.927008285e+01,7.816411117e+01,2.317725467e+01,4.264835510e+01,9.721212832e+00,1.090398774e+00,3.643517538e+01,1.278830032e+01,4.851549639e+01,6.534852002e+01,4.884727323e+00,5.533178944e+01,2.681286063e+01,7.160344297e+01,5.383585117e+01,6.384988636e+01,2.760547902e+01,7.756286159e+01,5.051097753e+01,2.845930284e+01,2.930102434e+01,1.645998712e+01,3.905770387e+01,7.292900552e+01,6.252354680e+01,8.564768745e+01,5.500499973e+01,9.399012226e+01,4.438943720e+01,7.090640861e+01,1.067902919e+01,4.368796647e+01,7.083273739e+01,8.742568634e+01,5.489608018e+01,5.688285634e+00,1.209767919e+01
5.629081992e+01,3.018956837e+01,4.674055005e+01,9.681064550e+01,8.683479344e+00,7.188875637e+01,7.273987299e+01,6.932697583e+01,5.265643412e+01,9.023092519e+01,9.486365633e+01,1.278300303e+01,9.499033917e+01,5.899360738e+01,7.857463708e+01,5.525694760e+01,3.163840925e+00,5.619640443e+01,2.379356382e+01,8.501053935e+01,6.849473154e+01,4.343991993e+01,4.297624536e+01,1.263131552e+01,3.448086833e+01,6.381676326e+01,7.747117877e+01,2.258271082e+00,5.722731222e+01,1.039451257e+01,3.944291252e+01,1.212458640e+01,1.904794175e+01,8.372445860e+00,5.032374048e+01,6.462848267e+01,6.148323400e+01,6.301078071e+01,5.498725589e+01,7.470902869e+01,1.214146637e+01,1.279279235e+01,2.697713308e+01,1.611512665e+01,5.121775966e+01,5.170750192e+01,7.569140412e+01,8.345872297e+01,4.239264851e+00,6.080379893e+01,9.630921119e+01,6.691957466e+01,2.784279028e+01,4.355314716e+01,4.647679668e+01,6.645756198e+01,3.076832864e+01,5.434388223e+01,4.917189221e+01,3.006434200e+01,6.867425719e+00
8.544500700e+01,8.294461078e+01,3.963748859e+00,3.784047698e+01,4.361599208e+00,9.337638832e+01,2.287842614e+01,3.128612173e+01,6.977577190e+01,9.478143314e+01,7.244945884e+01,8.050782079e+01,8.830061004e+01,9.689985304e+01,5.344739705e+01,2.918526878e+01,1.102817296e+01,3.809609131e+01,1.332092811e+01,8.907231221e+01,1.396912794e+01,5.490697291e+01,9.203031263e+01,2.056389048e+01,5.971350401e+00,3.654229223e+01,2.902187810e+01,5.011928579e+01,6.007331270e+01,8.762306320e+01,2.724671208e+01,2.269413530e+01,6.958237129e+01,6.808539387e+01,3.439761256e+01,6.505295336e+01,5.308679987e+00,1.345842484e+01,1.466358494e+01,3.781239933e+01,1.762154724e+01,5.824512153e+01,8.316551111e+01,6.401987170e+01,1.881276510e+01,2.645774508e+01,3.822338200e+01,3.107471434e+00,8.380698477e+01,4.581579417e+01,3.220385877e-01,6.626342375e+01,8.589043549e+01,4.210455870e+01,4.308663791e+01,8.028123003e+01,6.810383380e+01,2.603567412e+01,4.969202103e+01,7.239975633e+01,3.491896415e+01
8.070325886e+01,2.617165022e+01,4.835216856e+01,1.862758810e+01,4.960833044e+01,8.772006288e+01,2.464713707e+01,3.750981905e+01,4.055987698e+01,2.410997462e+01,4.112130330e+01,8.869922050e+01,5.272620396e+01,9.127393675e+01,5.436922512e+01,8.687242528e+01,5.408114330e+00,5.554610950e+01,7.027846277e+01,6.168943904e+01,8.113363744e+00,6.509388829e+01,9.741091677e+01,7.059468576e+01,2.136601120e+01,1.933494542e+01,4.457258541e+01,6.010348030e+01,2.901676994e+01,1.854237777e+01,1.121276930e+00,7.506979381e+00,5.216506524e+01,6.464873630e+01,5.269566927e+01,3.904263098e+01,3.351206465e+01,3.584965164e+01,1.722068810e+01,7.638638572e+01,5.610863821e+01,5.216571879e+00,9.077193828e+01,7.635566534e+01,3.030576335e+01,8.547402488e+01,8.891198585e+01,2.746871145e+01,5.101843049e+01,1.005675159e+01,8.077281510e+01,5.721674703e+01,6.359765421e+01,2.839856026e+01,9.464027364e+01,3.393663556e+01,1.960343507e+01,7.786204562e+00,2.439877959e+01,4.102636181e+01,6.625851963e+01
8.009285693e+01,9.066175053e+01,9.677231604e+01,7.594237470e+01,5.967065051e+00,3.699078142e+01,2.897768856e+01,3.384666798e+01,4.454557922e+01,4.236064560e+00,5.060933912e+01,5.301376970e-01,3.250187943e+01,4.260450011e+01,2.617123947e+01,2.931341388e+01,4.959405139e+01,6.682165262e+00,4.169209699e+01,3.116554255e+01,4.269295840e+01,4.901817153e+01,2.655741808e+01,7.264927054e+01,6.357470743e+01,6.593706270e+01,5.615218314e+00,5.403755117e+01,1.644316267e+01,5.512727876e+01,2.697431273e+01,4.822010895e+00,7.136611167e+01,3.998562346e+01,3.159036604e+01,3.777140621e+01,2.471896299e+01,2.290596543e+01,2.565068389e+01,3.491253040e+00,9.718111737e+01,9.710289696e+01,4.853608831e+01,1.000554833e+01,1.558379710e+01,8.405667639e+01,2.202123894e+01,8.002720681e+01,2.770417781e+01,3.704762652e+00,5.488614045e+01,6.989736242e+01,4.561863840e+00,1.670871040e+01,8.439204776e+01,9.061861980e+01,4.947653737e+01,9.731170011e+01,5.637920171e-01,1.685116380e+01,3.950402783e+01
5.546929134e+01,9.856422994e+01,6.615775575e-01,7.733435335e+01,2.099819780e+01,5.044625700e+01,1.844409963e+01,3.970422740e+01,1.703018949e+01,2.439518933e+01,5.354378412e+01,6.891709672e+01,2.701596111e+01,2.114587736e+01,1.552757455e+01,8.504987943e+01,7.149111216e+01,9.962639191e+01,2.413782742e+01,3.270532850e+01,1.273316976e+01,2.636132734e+01,1.980433751e+01,7.622179914e+01,7.501128194e+01,2.850356661e-01,5.287490205e+01,4.763771912e+01,2.374281611e+01,9.272710373e+01,4.865143942e+01,7.692003445e+01,7.878711145e+01,9.039368548e+01,6.088310859e+01,7.464233189e+01,3.342579978e+01,3.513683998e+01,4.661016220e+00,5.188378534e+01,2.184263647e+01,4.707624297e+01,8.067525766e+01,5.355541926e+01,4.925291073e+00,5.587432996e+01,5.668521004e+01,7.172695604e+01,8.235294719e+01,6.414534380e+01,8.401100403e+01,5.271016369e+01,9.580621428e+01,9.454348531e+01,7.998229664e+01,1.425327132e+01,6.475213735e+00,9.901257099e+01,5.178232223e+01,1.778523664e+01,9.909276665e+01
8.387890391e+01,7.618196579e+01,3.390470458e+01,8.483921595e+01,1.134758120e+01,9.961632809e+01,6.636204794e+01,6.879857723e+01,5.724821965e-01,9.600560326e+01,8.969659662e+01,8.982366985e+01,9.730680711e+01,6.861122448e+01,6.943289319e+01,2.170036982e+01,6.648604057e+01,6.520140284e+01,8.855355223e+01,4.554956068e+01,4.454369554e+01,1.078872880e+01,6.066861092e+00,2.930368265e+01,2.801599616e+01,6.585666096e-01,4.519159118e+01,1.198826554e+01,8.155927157e+01,7.034966535e+01,1.748853607e+01,1.460193661e+01,7.691564177e+01,5.362308755e+00,1.209635815e+01,8.681090694e+01,9.393270333e+01,8.917012735e+01,2.368277120e+01,5.367355898e+01,4.599101493e+01,5.864655945e+01,4.142433586e+01,3.436246015e+01,3.315548816e+01,1.787767007e+01,4.970531268e+01,1.446777552e+01,6.089623294e+01,4.197191015e+01,7.903020248e+01,6.870115812e+00,4.049335363e+01,7.869166651e+01,5.340339397e+01,9.892461605e+01,2.636128722e+01,5.492920001e+01,6.662851775e+01,5.046571420e+01,8.779941276e+01
9.638288034e+01,8.090514017e+01,6.777403414e+01,4.058761003e+01,5.733848342e+01,1.323653606e+01,3.213677671e+01,5.774228782e+01,4.063702528e+01,2.062938960e+01,7.947357321e+01,4.990919003e+01,3.221750960e+01,4.794363931e+01,4.974994462e+01,5.445633282e+01,7.138169250e+01,9.672484951e+01,3.654595651e+01,8.326256808e+01,8.580888928e+01,6.974078913e+01,4.772306684e+01,6.523956636e+01,5.292988844e+01,8.008141217e+00,2.291832790e+01,3.668040423e+01,9.830307954e+01,7.644701163e+00,2.688368510e+01,5.149682255e+01,6.135048171e+01,4.979069655e+01,6.192797091e+01,8.373641557e+01,7.248069647e+01,8.326222042e+01,3.591440203e+01,1.361593507e+01,7.880642906e+01,6.437731795e+01,6.072348372e+01,5.766401682e+01,5.208653882e+01,2.333537929e+01,7.684431539e+01,6.968793728e+01,8.702920240e+01,2.057945180e+01,4.664567568e+01,8.718725236e+01,9.759880694e+00,6.286877485e+01,9.145452380e+01,8.015658226e+01,5.173619246e+01,9.723314408e+01,5.573874519e+01,8.431490043e+01,2.729004466e+01
7.240377528e+01,7.918708225e+01,2.016396363e+01,8.741110818e+00,8.166012809e+01,6.959779604e+01,3.919237329e+01,9.261973994e+00,2.046612976e+01,8.056812239e+01,1.793393517e+01,5.033965568e+01,6.998232087e+01,1.717130689e+01,7.863916929e+01,7.772948435e+01,6.828847126e+01,4.159788402e+01,3.042765715e+01,4.665638006e+01,8.440073848e+01,6.318469793e+01,8.036158510e+01,8.197049722e+01,4.230229395e+01,6.831520561e+01,9.173981313e+01,6.336058444e+01,3.289536360e+01,7.217333741e+01,5.160516430e+01,2.460478340e+01,8.044958353e+01,6.782259745e+01,4.775912768e+01,7.509874350e+01,4.482054812e+01,1.944551785e+01,2.430153808e+00,2.928529269e+01,2.108115341e+01,1.775964304e+01,7.524290010e+01,3.316344255e+01,3.845139432e+00,5.190857011e+01,7.476052765e+01,7.428220413e+01,3.447528303e+00,6.399887245e+01,3.126996756e+01,8.895004494e+01,7.926873211e+01,4.475763835e+01,4.230148641e+01,9.175328862e+00,9.091395985e+01,1.767958370e+01,2.546783912e+01,7.881008018e-01,8.141744059e+01
2.097307083e+01,4.466070890e+01,9.709899509e+01,2.482029449e+01,3.136897751e+01,8.458917126e+01,3.769531812e+01,5.319041310e+01,3.332813178e+00,4.384438897e+00,9.595826825e+01,7.129685402e+00,4.763800301e+01,3.394370438e+01,3.049692476e+01,2.788422097e+01,5.284849980e+01,6.390597663e+01,1.388257175e+01,5.235161103e+01,9.500885582e+01,3.980172188e+01,1.046923561e+01,6.374614272e+01,3.195953726e+01,1.905871789e+00,8.789868606e+01,9.505580000e+01,5.622421484e+01,4.097227128e+01,4.958398899e+01,7.088954438e+01,9.308310549e+01,4.293653489e+00,9.800286598e+01,4.664659120e+01,7.180645423e+01,1.093896409e+01,3.627443962e+01,6.163697602e+01,7.296194955e+01,6.441979936e+01,9.431957863e+01,5.829532062e+01,3.406508990e+01,2.879992631e+00,1.663887752e+01,4.319886691e-01,2.072327224e+01,3.098522128e+00,2.492117874e+01,1.669741600e-01,7.172988839e+01,4.440379934e+01,8.233646597e+00,9.871451358e+01,7.797036242e+01,6.533336351e+01,8.054291052e+01,2.030247357e+01,8.043227002e+01
