v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71
1.744451512e+01,7.493812697e+01,2.850664766e+01,6.041564386e+01,9.228923446e+01,2.191267156e+01,4.762581531e+01,7.007727558e+01,7.014614629e+01,4.773143498e+01,8.452661871e+01,7.030202194e+01,9.495790124e+01,6.690197116e+01,7.427870474e+01,8.227044362e+01,5.872612709e+01,4.214947585e+01,7.557958887e-01,3.728578402e+01,7.954429290e+01,3.807512810e+01,9.604693082e+01,6.101771685e+01,1.702028295e+01,3.958978166e+00,3.001193545e+01,7.282106837e+01,4.748348303e+01,6.524917641e+01,2.880280829e+01,4.805835163e+01,6.302265158e+01,1.321277895e+01,8.218045206e+01,7.967341662e+00,1.282532875e+01,7.386485523e+00,6.923431076e+01,1.371062556e+01,8.512932907e+01,6.711200497e+01,6.410398516e+01,5.283680022e+01,9.886146474e+01,5.692372702e+01,4.159424496e+01,3.624910315e+01,9.164512113e+01,6.683560644e+01,4.188021951e+01,5.383108521e+01,8.235897105e+01,1.884149706e+01,5.814992782e+01,5.904316736e+00,3.766590631e+01,5.742178301e+01,8.019833208e+01,5.326891850e+00,9.034753359e+01,7.437692062e+01,1.150103826e+01,8.200230781e+01,9.897591951e+01,4.231293343e+01,7.813426325e+01,4.229765900e+01,2.490279593e+01,3.340780171e+01,6.352157449e+01
4.382357363e+00,4.110039476e+01,2.516826950e+01,1.133274247e+00,5.419627952e+01,6.297321292e+01,9.009794974e+01,8.429614537e+01,6.692000492e+01,4.290189983e+01,6.401499932e+01,2.660426784e+01,4.188643053e+01,7.994721434e+01,7.473130065e+01,8.537331041e+00,5.593293590e+01,4.824363044e+00,2.371453508e+01,5.748561928e+01,7.871180057e+01,6.984645385e+01,1.932040899e+01,4.009629665e+01,1.598566204e+01,8.932777498e+01,2.559363887e+01,2.720876791e+01,1.406036009e+01,7.504421835e+01,4.623488186e+01,9.425934482e+01,7.378754822e+01,7.998102429e+01,5.171095613e+01,3.782676971e+00,1.118949702e+01,8.224985061e+01,9.558919301e+01,7.456477214e+01,1.164951919e+01,5.404761826e+01,3.972708617e+01,7.977163870e+01,4.000355195e+01,3.877584714e+00,8.516169976e+01,1.472418400e+01,9.918453308e+01,1.233659387e+01,8.398822901e+01,8.883906341e+01,3.311813050e-02,2.123707864e+01,6.664440395e+00,8.828112667e+01,4.085216405e+00,5.549996856e+01,7.514482582e+01,9.093384536e+01,8.966482296e+01,5.442491077e+01,5.805351213e+01,3.011330603e+01,8.873360434e+01,3.461739623e+01,4.340937157e+01,4.046993987e+01,2.127806931e+01,3.798664617e+00,4.997151424e+01
3.785711320e+01,5.437761349e+01,5.495287365e+01,7.615921778e+01,1.459939601e+01,9.032531561e+01,1.357526845e+01,9.939197925e+01,5.027857243e+01,4.180297591e+01,8.384259205e+01,2.904198544e+01,7.333820778e+01,6.140452804e+00,7.197249573e+01,3.962576719e+01,3.029601094e+00,3.785557163e+01,7.059804769e+01,2.361190913e+01,7.555932365e+01,9.703111777e+01,4.296139024e+01,5.600241377e+01,1.455467970e+01,4.717362197e+01,2.314789389e+01,2.905631376e+01,3.502546939e+01,6.090958329e+01,1.912930369e+01,9.101934761e+00,6.516841567e+01,1.040086763e+01,1.528712234e+01,4.430252743e+01,8.982114531e+01,8.472963448e+01,3.125812112e+01,7.788129140e+01,4.671345936e+01,5.908280348e+01,5.418110929e+01,8.943225716e+01,6.674407810e+01,2.212474720e+01,7.961448766e+01,6.434145518e+01,5.799168038e+01,1.851748951e+01,9.174697670e+01,4.367580235e+01,5.432139868e+01,7.614904044e+01,5.214629243e-02,4.284298771e+01,7.239018400e+01,3.343433035e+01,1.871598758e+01,9.743611472e+01,3.234302533e+01,3.103433772e+01,9.735184209e+01,7.011037925e+01,3.791535129e+01,7.910707519e+01,3.766235499e+00,1.155962568e+01,2.083342279e+01,1.399599827e+01,8.608697370e+01
1.817577650e+01,8.438413439e+01,1.809437344e+00,3.978154668e+01,6.255911117e+01,5.007774670e+01,9.506375654e+01,7.589510429e+00,1.787133523e+01,1.114562344e+01,8.876283027e+01,9.182643475e+01,2.192983152e+01,2.323930748e+01,4.842303301e+01,9.316567249e+01,6.149094764e+01,4.689604252e+01,4.559862882e+01,5.126201087e+01,3.027075045e+01,5.019400785e+01,3.032739062e+01,1.205058437e+01,6.614445744e+01,1.416580491e+01,7.551934894e+01,9.336157235e+01,4.779761200e+00,1.588156974e+01,7.088058455e+01,6.858270563e+01,4.351514494e+01,8.904498789e+01,6.350196000e+01,6.620881788e+01,9.828466383e+00,2.335879489e+00,4.084152260e+01,3.316778224e+01,9.387346421e+01,3.472272290e+01,8.143628294e+01,7.416108486e+01,1.071363900e+01,8.617401479e+01,9.512836576e+00,5.685677355e+01,5.242027803e+01,8.414021840e+01,4.904457958e+01,1.713406601e+01,9.751650652e+01,3.491164106e+01,2.246896278e+01,9.284124269e+01,9.309889503e+01,9.501574057e+01,7.418108800e+00,4.009684820e+01,3.243176861e+01,2.146890053e+01,6.404460389e+01,9.325543085e+01,1.526981997e+01,5.255354788e+01,2.913359950e+01,8.639001143e+01,6.473655718e+01,7.739235537e+01,5.883054391e+00
6.381245406e+01,5.370256078e+01,3.441715779e+01,1.727406041e+00,1.999058253e+01,3.641954233e+01,2.733209943e+01,7.085749992e+01,6.515511948e+01,7.728949257e+00,5.335108569e+01,9.698177969e+00,8.598940641e+01,4.379858705e+01,8.866703767e+01,1.949367500e+01,7.211249930e+00,3.244490211e+00,8.300351471e+01,4.939798237e+01,3.393069894e+01,8.841894990e+00,9.570190458e+01,8.676243569e+01,7.195952016e+01,2.572711133e+01,2.543372494e+01,2.613097008e+01,3.181128632e+01,3.740458260e+01,9.298754684e+01,7.911702323e+01,2.441711277e+01,3.347283473e-01,1.920158257e+01,3.764542826e+01,6.474934490e+01,5.161913313e+01,7.698143664e+01,6.115199573e+01,4.686876498e+01,8.774657287e+01,6.356998727e+01,6.341522797e+00,8.037935437e+01,5.293931620e+01,5.571349568e+01,9.961912123e+01,6.980942571e+01,3.340356575e+01,1.053531682e+01,5.329267338e+01,3.184355570e+01,5.133332481e+01,3.429578872e+01,6.000055877e+00,5.231352744e+00,2.054409517e+01,5.339812527e+01,4.497730079e+00,3.645479903e+01,4.726697912e+01,3.001083887e+01,5.282375681e+01,9.649397292e+01,8.407866255e+00,7.457004682e+01,4.004020391e+01,8.908477386e+01,6.012215201e+01,3.123884822e+01
7.627824624e+01,8.932761441e-01,3.849397701e+01,6.520075664e+01,9.214822717e+01,8.621808447e+01,5.033505132e-01,6.665441539e+01,4.399886376e+00,3.869899076e+01,9.111328016e+01,6.065021289e+01,1.155321367e+01,4.013640849e+00,3.589019238e+01,4.834815709e+01,6.421356906e+00,5.032940703e+01,5.991359147e+00,7.674863595e+01,7.673233744e+01,9.476937480e+00,5.667268304e+01,3.167850123e+01,2.303333440e+01,3.912355174e+01,5.570411244e+01,4.619656227e+01,3.288413204e+01,6.240655482e+00,3.750206877e+01,9.593646499e+01,5.731463497e+01,8.508362528e+01,1.820258801e+01,5.604020180e+00,4.977911103e+01,4.686543720e+01,3.881825770e+01,7.237532160e+01,3.614510299e+01,5.308409316e+01,5.719381753e+01,6.521324881e+01,3.882050546e+01,7.823648330e+01,5.636265711e+00,4.400925404e+01,3.154111322e+01,3.809404016e+01,2.571951779e+01,9.599090923e+01,7.385169794e+01,5.415750182e+01,9.367269721e+01,6.643769141e+00,3.739559329e+01,9.869015704e+01,5.342072436e+01,2.114071218e+01,2.851343651e+01,5.658929238e+00,4.052367809e+01,4.758298486e+01,6.241664510e+01,3.384077885e-01,2.419385871e+01,3.504810549e+00,7.518302847e+01,3.504135851e+01,4.036926192e+01
8.474469447e+01,4.036576083e+01,3.727321632e+01,3.490784436e+01,6.743156604e+01,3.685379575e+01,4.650467219e+01,1.689631209e+01,3.447272890e+01,1.159608449e+01,6.434626008e+01,4.477318686e+01,3.485840760e+01,1.287104990e+00,7.545147832e+01,8.878425688e+01,1.739104146e+01,6.996613150e+01,3.280909998e+00,7.066881017e+01,5.378793315e+01,5.123388217e+01,4.648118694e+01,3.820263158e+01,1.031423147e+01,5.694543952e+01,1.194191216e+01,6.473463062e+01,3.988459890e+01,6.351981809e+01,2.689514763e+01,6.153113590e+01,5.818520735e+01,7.063943720e+01,9.347950379e+01,5.417457929e+01,9.926916054e+01,1.578921183e+01,1.563046105e+01,8.953288172e+00,6.678729626e+01,4.332701675e+00,5.941708327e+01,7.447392998e+01,1.784155123e+01,9.446098602e+01,5.479053927e+01,8.375840588e+01,4.118977458e+00,1.282762556e+01,9.890725971e+01,8.229608879e+01,7.543670726e+00,4.284847392e+01,4.961605546e+00,7.497744184e+01,1.266816163e+01,6.785140671e+01,5.435336001e+01,9.407982928e+00,2.967468738e+01,6.154906455e+01,8.528909183e+00,8.387829265e+01,6.857369683e+01,2.656520979e+01,7.257084847e+01,3.894189210e+01,7.635291495e+01,7.340485717e+01,1.653409846e+01
3.797089712e+01,9.498876220e+01,9.195303246e+00,9.928040280e-01,5.136872109e+01,7.781328093e+01,2.293750346e+01,2.810159743e+01,1.612340222e+01,8.746739089e+00,1.868522177e+01,3.644571425e-01,5.573382115e+01,9.876619967e+01,7.263956634e+01,1.744568236e+01,2.249524123e+01,9.417041248e+01,6.176501052e+01,3.066358405e+01,1.512130560e+01,9.959618854e+00,1.960968894e+01,9.944728845e+01,7.435805180e+01,1.332167689e+01,9.806828797e+01,6.086421331e+01,3.712977416e+00,3.859645888e+01,5.461955423e+01,4.573778954e+01,2.524845791e+01,5.888761824e+01,1.108540519e+01,9.909654949e+01,9.146876465e+01,6.579559320e+01,5.508097156e+01,9.548418644e+01,8.281428885e+01,6.445325571e+01,7.442822074e+01,2.266070395e+01,5.602923172e+01,7.192399690e+01,5.918888445e+01,6.634285679e+01,3.098388250e+01,1.423602187e+01,4.987513582e+01,3.866288597e+01,2.054866616e+01,1.680124221e+00,4.664631232e+01,9.827511877e+01,7.125636690e+01,5.755243681e+01,3.280298544e+01,6.615543262e+00,7.591056940e+00,4.630754991e+01,5.593084715e+01,9.288330709e+01,2.501770475e+01,9.581863895e+00,9.145546720e+01,5.018115947e+01,2.919328827e+01,3.203044492e+01,8.311471300e+01
8.934444670e+01,3.897861238e+01,1.579778247e+01,1.703309481e+01,9.987601414e+01,7.838964611e+01,8.925762856e+01,7.784909514e+01,3.545458171e+01,7.081329470e+01,7.202895160e+01,6.260516996e+01,4.889579066e+00,2.248678808e+01,9.932894959e+01,4.329583038e+01,7.063917083e+01,2.091890365e+01,3.959635209e+01,5.982002686e+01,7.262901656e+01,4.463137906e+01,7.199893599e+01,2.037946547e+01,9.243408468e+01,3.282216978e+01,6.923356667e+01,7.553755548e+01,5.944074472e+01,9.093906264e+01,8.816653466e+01,6.698406335e+01,2.917889462e+01,2.819565298e+01,1.596312919e+01,9.355639521e+01,3.413780755e+01,7.104606213e+01,6.058921698e+01,7.167478479e+01,1.998905255e+01,6.913088033e+00,8.760920112e-01,7.647978192e+01,7.962679590e-01,9.797377414e+01,6.155053535e+01,7.445287546e+01,6.431025533e+01,8.168235370e+01,4.713142225e+01,6.003963122e+01,9.348218242e+01,8.972631126e+01,7.095420493e+00,1.020912758e+00,7.432941792e+01,3.656473215e+01,2.138678202e+01,3.977471625e+01,9.146300629e+01,4.737011477e+01,6.340378521e+01,2.574466833e+01,8.091072764e+01,7.946877734e+01,4.048534598e+01,3.770908034e+01,5.480774735e+01,4.796452738e+01,9.903065727e+01
6.000682494e+01,6.021554502e+01,1.814498694e+01,1.720434120e+01,5.242475884e+00,4.696303398e+01,7.515517145e+01,9.840950698e+01,3.717842457e+01,9.259988315e+01,5.631138640e+01,3.204783458e+01,2.399181026e+01,2.835654791e+01,8.905609147e+01,3.301763534e+01,3.627724474e+01,9.977350712e+01,4.020675020e+00,2.522571643e+01,3.322942588e+01,1.033458289e+01,4.202935961e+00,4.166226147e+01,8.841671225e+00,7.159609212e+01,3.580994637e+01,9.476406737e+01,4.653435199e+01,1.466331750e+01,9.784366029e+01,1.796749493e+00,9.070299978e+01,1.592430378e+01,8.140974985e+01,2.485790866e+01,1.186457355e+01,9.892196508e+01,7.279260964e+01,4.426848617e+01,7.130206925e+01,4.835150316e+01,1.702245329e+01,4.951014515e+01,6.896587590e+01,2.249598388e+01,7.596695175e+01,2.674021278e+01,4.438010906e+01,8.004256699e+01,3.419823250e+01,6.827583345e+01,1.307505623e+01,8.728245294e+00,7.723580050e+01,3.229384596e+01,5.564840500e+01,6.127752436e+01,4.220336404e+01,6.686054984e+01,3.425918152e+01,2.193423825e+01,5.002071769e+01,3.715044839e+01,4.248614362e+01,4.109692465e+01,5.715793935e+01,6.938855218e+01,8.141649894e+01,4.828989283e+01,2.484782858e+01
6.323891295e+01,2.219342071e+01,9.193660373e+01,2.839299088e+01,3.716734359e+01,1.564954198e+01,2.300774989e+01,2.289205044e+01,8.061521514e+01,1.199988268e+01,8.946186466e+01,2.631909950e+01,5.912063139e+00,3.518578031e+01,6.402658802e+01,3.862986329e+01,5.260523594e+00,1.288552573e+01,3.082105546e+01,5.386033013e+01,9.152515798e+01,9.392634901e+01,5.312543423e+01,2.307266568e+01,8.473254007e+01,6.884472489e+01,4.079814761e+01,6.737443776e+01,7.800375854e+01,9.382485344e+01,1.635636536e+01,8.351969921e+01,8.147752707e+01,7.190502232e+01,7.343809254e+01,9.825456147e+01,1.876596807e+01,6.536468241e+01,9.428542136e+00,7.554839637e+01,1.291101429e+01,8.705654871e+01,9.100062898e+01,7.691337917e+01,4.973042129e+01,3.647618531e+01,3.978156993e+01,2.101345695e+01,7.269078526e+00,7.188182377e+01,4.823456321e+01,9.815740947e+01,3.778073007e+01,7.893019538e+01,2.574196147e+01,5.183018842e+01,4.595734950e+01,1.705336778e+01,4.933958973e+00,3.896330480e+01,4.223157402e+01,1.071502369e+00,8.919151222e+01,1.785477586e+01,6.471056043e+01,4.583314410e+01,6.113134143e+01,9.894734576e+01,5.930491652e+01,5.887275322e+01,4.798980559e+01
