v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51
9.364457621e+01,8.040169899e+01,3.603680035e+01,3.903602588e+01,1.234444767e+01,2.203697740e+01,9.895583408e+01,7.260268032e+01,6.533497486e+01,1.699115420e+01,6.272931587e+00,5.811675573e+01,3.380705732e+01,8.523129183e+01,3.383859765e+01,4.929554873e+01,1.578350451e+01,5.642241462e+01,8.149960010e+01,9.014574290e+01,4.010339659e+01,3.352528402e+01,2.476302741e+01,6.980142668e+01,3.543945673e+01,4.691917893e+01,7.312243406e+01,5.038520549e+00,4.227931540e+01,5.540070695e+01,8.171136842e+01,8.278552242e+01,8.006284447e+01,2.294185270e+01,7.564506320e+01,3.714114804e+01,1.147249412e+01,7.518383102e+01,1.156590892e+00,5.783621780e+01,1.700750269e+01,9.314260467e+01,2.315174832e+01,8.694330823e+01,5.588109017e+01,9.544887625e+01,2.274096261e+01,8.881205721e+01,7.474782761e+01,3.746992429e+00,8.022979538e+01
8.139089612e+01,2.764133311e+01,7.776007474e+01,9.054332859e+01,9.629995835e+01,6.329480079e+01,4.230122095e+01,6.824459767e-01,1.312850946e+01,7.535411619e+01,2.866916524e+01,8.714096161e+00,5.370130709e+00,7.146750428e+01,2.391572804e+01,7.938098251e+01,4.653711926e+01,3.064497670e+01,3.345767325e+01,4.099072907e+01,6.372389742e+01,8.768388885e+01,9.230600570e+00,5.430252748e+01,1.090073450e+01,6.990204349e+01,9.154086441e+01,6.735310739e+01,6.628369256e+01,2.496805613e+01,8.578270589e+00,8.286927017e+01,9.835854552e+01,2.353506712e+01,7.224331461e+00,2.108188530e+01,7.450439300e+01,7.862050768e+00,7.511080455e+01,1.634241975e+01,2.898616788e+00,9.339440962e+01,4.379608043e+01,2.766156731e+01,8.540327833e+01,4.585644400e+01,2.710919706e+01,1.796279716e+01,9.854873924e+01,2.587720168e+01,6.643174357e+00
4.978175581e+01,2.130110073e+01,3.426067874e+01,8.473190555e+01,6.409272749e+01,1.882794699e+01,6.518555780e+01,1.912903845e+01,2.092598207e+01,6.277837941e+00,7.421968626e+00,6.648035855e+00,4.545153791e+01,6.677360087e+00,3.717089628e+01,2.668706334e+01,3.560649174e+01,3.205175316e+01,2.126768607e+01,5.905369814e+01,5.863269694e+01,2.413333551e+01,7.039491658e+01,3.748622674e+01,4.339660435e+01,1.617900516e+01,7.924450085e+00,5.889036938e+01,5.345459481e+01,9.177664710e+01,1.244204984e+01,9.029278273e+01,4.830431736e+01,2.721205608e+01,6.988909782e+01,5.635822035e+01,7.961847927e+01,3.670849036e+01,3.154387986e+01,8.495194722e+01,1.379837778e+01,2.575420300e+01,2.450049365e+01,1.369779617e+01,1.963609447e+01,2.206860968e+01,6.216145703e+01,3.318839164e+01,4.242462453e+01,6.126773180e+01,6.299368108e+01
1.469879895e+01,1.776281975e+01,4.956237742e+01,5.586218192e+01,5.615108458e+01,2.163893341e+01,3.443716671e+01,9.652483775e+01,3.034633140e+01,1.849552333e+01,1.650067199e+01,6.500247981e+01,1.272639030e+01,9.199124843e+01,1.939913924e+01,7.890032106e+01,5.969139119e+01,2.671361234e+01,5.380536397e+01,4.349014806e+01,4.446063599e+01,5.865452253e+01,2.729823081e+01,6.124326798e+01,1.935529801e+01,6.404755131e+01,5.311214399e+00,4.585520348e+00,7.368771772e+01,8.854888746e+01,1.026063930e+01,1.508028466e+01,4.330319522e+00,6.566097386e+01,3.573645440e+01,8.978932095e+00,5.692459091e+01,3.912208897e+01,7.196044452e+01,8.568663359e+01,6.348140246e+01,3.455060983e+01,5.193519122e+00,1.242404287e+01,3.746339320e+01,3.556357722e+01,2.794422247e+01,4.650444675e+01,2.147432282e+01,7.388025408e+01,7.166880192e+01
5.388718648e+01,2.931192710e+01,1.327086126e+01,7.939142298e+01,1.710505426e+01,6.788542916e+01,3.837341561e-02,8.481860251e+01,4.909609669e+01,8.123010342e+01,8.340987366e+01,8.448896605e+01,4.407728536e+01,2.210363798e+01,8.705458750e+00,2.491837203e+01,9.089831244e+01,6.107782876e+01,9.497949432e+01,6.935383364e+01,2.574418446e+01,1.759593279e+01,4.104607313e+01,3.574079925e+01,9.490716538e+01,5.049337894e+00,6.073441532e+01,4.398472943e+00,5.164922501e+00,6.971744048e+00,2.849543434e+01,3.152856460e+01,8.587241613e+01,6.824518739e+01,2.440548389e+01,9.346837739e+01,7.474248691e+01,6.870961818e+01,2.145662248e+01,9.510871538e+01,7.288078485e+01,2.052620656e+01,6.251625541e+01,1.632653817e+00,7.270913484e+01,3.265015919e+01,3.101263001e+01,9.307265894e+01,1.464173131e+01,6.627694861e+01,1.065175320e+01
4.623629840e+01,3.298280694e+01,6.449958322e+01,7.047588491e+01,6.063251978e+01,6.476383189e+01,6.148756996e+01,5.708651213e+01,3.912183700e+01,7.435624633e+01,8.718909025e+00,6.131501325e+01,8.168925703e+01,6.386112279e+01,4.133508732e+01,9.181744278e+01,3.208473412e+01,2.975042899e+01,4.295560060e+00,4.460225252e+01,9.867175712e+01,9.313898027e+01,4.753659128e+01,5.994183937e+01,8.632474065e+01,3.823986197e+01,1.915437113e+01,3.251455368e+01,7.522854152e+01,2.391533704e+01,6.925467369e+01,4.434480000e+01,4.500391626e+01,6.232753980e+01,6.135621304e+01,5.754050086e+01,7.112658486e+01,6.660450438e+01,4.310992540e+01,2.329647305e+01,4.536505678e+01,2.382138167e+01,5.233670211e+01,6.504660868e+01,2.935108151e+01,1.806089249e+01,3.283429826e+01,1.672868583e+01,7.678420483e+01,1.012218999e+01,2.958427539e+01
6.508225027e+01,9.510636064e+01,2.805269787e+01,1.128206936e+01,8.629788515e+01,4.505508090e+01,6.427468893e+00,1.191149786e+01,1.048582692e+01,6.213723237e+01,5.282267960e+01,8.774648422e+01,8.356799507e+01,9.849127254e+01,1.213098632e+01,5.227038904e+01,3.876474699e+01,1.670638058e+01,6.760514267e+01,6.943298908e+01,6.768126298e+01,2.288758669e+01,2.420363111e+01,9.276152961e+01,2.678183083e+01,2.787112730e+01,9.016106500e+01,7.266457736e+01,2.451782597e+01,1.465289384e+01,4.102236704e+00,4.558124020e+01,9.971616267e+01,6.815133453e+01,5.327509346e+01,3.807966495e+01,1.582949159e+01,7.253042518e+01,8.001017775e+01,4.479266819e+01,6.500674394e+00,9.255193798e+01,8.778425017e+01,7.886592109e+01,5.061522164e+01,7.808619074e+01,3.004295674e+01,3.712855028e+01,7.873204194e+01,1.316357655e+01,2.690243420e+01
4.424427414e+01,3.530101914e+01,9.211820722e+01,2.501672607e+01,6.553569713e+00,5.586833037e+01,8.787841751e+01,2.702627557e+01,2.941364008e+01,8.434378655e+01,4.851698569e+01,4.076703669e+01,8.921727820e+01,4.104149770e+01,9.052485220e+01,5.970873942e+01,1.486734541e+01,8.916348044e+01,6.753082200e+01,1.757079589e+01,5.151862375e+01,5.039726242e+01,4.381878769e+00,9.205547853e+01,6.475162752e+01,5.297463582e+00,1.960858168e+01,7.226490442e+01,9.209475995e+01,3.827493660e+01,2.829480945e+01,9.646918345e+01,5.992864758e+01,7.385891666e+01,6.395660995e+01,2.605484480e+01,4.925413554e+01,9.803953043e+01,7.133138085e+01,7.258567267e+01,1.296666004e+01,6.142169328e+01,8.392796403e+01,1.706846235e+01,5.338752972e+01,9.000552108e+01,5.489065686e+01,4.232373149e+01,7.541961414e+01,7.946794851e+00,6.529531337e+01
5.528038571e+01,7.907201526e+01,7.490231249e+01,7.624395513e+01,3.002503254e+00,8.271260026e+01,3.467580690e+01,9.845426720e+00,8.102740699e+01,9.851372398e+01,1.524888709e+01,2.718411780e+01,1.094993286e+01,3.554367018e+01,5.185693320e+01,9.820147163e+01,4.076091500e+01,4.218818184e+01,2.467607120e+01,7.516262839e+01,9.278546571e+01,2.441569004e+01,3.472287242e+01,1.842680644e+01,3.444898495e+01,4.514562362e+01,1.331320861e+01,3.422673376e+01,2.785150475e+01,6.977271313e+01,6.167814257e+01,1.978527001e+01,3.924655368e+01,7.788326384e+01,9.498505175e+01,6.932789052e+01,5.404096879e+01,4.049422717e+01,5.441248603e+01,6.780130227e+01,7.933043310e+01,6.342185262e+01,7.044932599e+01,9.150426917e+01,9.373403393e+01,1.470360910e+01,3.176016641e+00,3.363876101e+01,4.912583180e+01,1.757916950e+01,4.567595778e-02
4.743874466e+01,6.182302652e+01,7.789260084e+00,5.506782082e+01,7.717693681e+01,5.860258147e+01,7.874275440e+01,5.663529386e+01,6.518556552e+01,8.275757798e+01,4.293088277e+01,3.959306289e+01,5.118887717e+01,1.972221059e+01,5.026936994e+01,8.100300824e+00,9.746729533e+01,7.502894271e+01,4.991183967e+01,3.195285699e+01,7.592645366e+01,2.781713882e+01,7.108729475e+01,6.052048301e+01,3.390104409e+01,4.876167256e+01,7.411434771e+01,2.267586212e+01,4.254743699e+01,8.778281260e+01,7.661990312e+01,9.415947598e+01,4.135093454e+01,9.848689392e+01,8.312641272e+01,1.797453626e+01,7.820474563e+01,7.619871913e+01,5.908428684e+01,7.262370953e+01,6.799447692e+01,7.463455775e+00,1.938541013e+01,5.217753953e+01,8.050620375e+01,8.290373121e+00,3.816257183e+01,8.201320137e+01,1.076483861e+01,9.253638076e+01,2.526616045e+00
8.511395871e+01,4.836219866e+01,8.569808100e+00,6.147507330e+01,2.670855372e+01,7.960484046e+01,1.569568868e+01,6.656846608e+01,2.233349861e+01,2.739494543e+01,3.582796955e+01,6.397217180e+01,4.694189590e+01,7.806652672e+01,1.518483870e+01,6.601606125e+01,7.087700520e+01,8.587870485e+01,9.737397001e+01,7.114009104e+01,9.695525499e+01,8.885880712e+01,3.385250867e+01,7.861091561e+01,2.371237751e+01,4.773166204e+01,4.315345814e+01,5.479847587e+01,9.589202547e+01,3.878193463e+01,5.845192519e+01,1.705172140e+01,1.802703847e+01,8.617459211e+01,4.734326463e+01,5.481128036e+01,8.482781523e+01,3.956476317e+01,1.729071476e+01,4.639988435e+01,6.976972187e+01,9.431192970e+01,6.215982093e+01,8.332508766e+01,7.147768995e+01,4.424238196e+01,5.494544357e+01,1.691460149e+01,8.050242730e+01,3.607181136e+01,4.417169350e+00
7.732836750e+01,5.647440871e+01,4.785591181e+01,3.676301809e+01,5.314845439e+01,8.643499433e+01,7.100866804e+01,2.561543568e+01,9.008087258e+01,9.214482681e+01,6.543842465e+01,8.550401390e-01,5.484715441e+01,3.321372144e+01,3.012823967e+01,1.611685367e+01,8.338143862e+01,4.841978099e+01,8.107580984e+01,6.635276706e+01,5.874216807e+01,2.695908666e+01,7.580052115e+01,3.609952984e+01,8.877415481e+01,8.679367704e+01,5.337910019e+01,3.262877923e+01,8.155762106e+01,3.579831571e+01,7.240221866e+01,8.116748134e+01,6.838194752e+01,5.712840594e+01,2.538951992e+01,7.396953149e+00,6.274413360e+01,4.519089450e+01,5.984049026e+01,2.051487487e+01,4.967571500e+01,9.865987558e+01,8.015668122e+01,5.257091909e+01,4.566994279e+01,8.300868368e+01,3.765062154e+01,5.588214407e+01,1.480836749e+01,4.772677880e+00,1.649481342e+00
4.455591791e+01,5.619329006e+01,5.273536771e+01,8.538593099e+01,4.428991686e+01,6.854932793e+00,5.261815201e+01,4.516536470e+01,1.796471338e+01,5.030491295e+01,8.596201949e+01,7.460101335e+01,1.123820403e+01,4.221427047e+01,3.099965225e+00,9.066725006e+01,4.349435316e+01,9.565201377e+01,6.068300831e+00,7.179625642e+01,5.336405624e+01,1.842487320e+01,3.735307662e+01,8.095942635e+01,4.779596080e+01,5.317041134e+01,1.509024998e+01,5.074004973e+01,7.352352726e+01,9.418061204e+01,4.211396356e+01,4.297975070e+01,4.720548106e+01,3.796032171e+01,3.931602121e+01,2.289217378e+01,7.053994194e+01,7.776620004e+01,1.117295289e+01,8.770320776e+01,9.938307670e+01,1.274997717e+01,9.327323160e+01,5.972556597e+00,9.021312013e+01,7.512810165e+01,4.653492701e+00,3.013211586e+01,1.315284170e+01,9.883357717e+01,9.111365189e+01
8.949826180e+01,8.343698571e+01,7.350830485e+01,6.026691148e+00,3.661567983e+00,3.788276170e+01,1.834311055e+01,9.336154536e+01,4.308671557e+01,8.149949060e+01,3.409917360e+01,2.571129456e+01,3.200776953e+01,8.370279661e+01,8.618532788e+01,2.949083879e+01,3.480941927e+01,7.943152144e+01,7.665336695e+01,3.467812739e+01,3.841172746e+01,4.209182218e+01,2.554780517e+01,2.786133303e+01,1.316679681e+01,6.460238631e+01,4.522607705e+01,6.138585218e+01,5.796466159e+01,2.511923783e+01,3.778979326e+01,2.731612436e+01,5.942134307e+01,9.364623640e+01,8.490247072e+01,8.896602466e+01,2.702391883e+01,1.674899188e+01,5.016803455e+01,3.688535923e+01,4.181396783e+01,5.955434303e+01,7.443578637e+01,1.194478977e+01,2.888885723e-01,3.810688189e+01,6.154854334e+01,6.427034887e+01,2.929989465e+01,6.851367804e+00,6.605578347e+01
9.760040329e+01,7.527354128e+01,6.307252846e+01,1.577319421e+01,4.402569856e+01,9.491114875e+01,7.814438462e+01,4.019979562e+01,4.105596761e+01,3.774503675e+01,7.090984512e+01,8.452226224e+01,8.117291838e+01,1.942116569e+01,3.745522056e+00,7.981149932e+01,3.066024847e+01,1.063408060e+01,1.745766662e+01,4.117659899e+01,1.555059599e+01,9.194122711e+01,1.727044197e+01,9.804330448e+01,3.437937399e+01,3.931966997e+01,9.743341737e+01,6.946101520e+01,7.465568508e+01,6.963038355e+01,8.639598166e+01,5.110548662e+00,9.887461108e+01,2.688349008e+01,5.986505857e+01,7.819101775e+01,6.235893028e+01,9.847949531e+01,8.492583265e+01,3.787918592e+01,2.442491790e+01,2.407253725e+01,7.786504270e+01,2.422483737e+01,6.524439009e+01,7.305344195e+01,5.950708850e+00,6.464291234e+00,4.594611512e+01,8.105692576e+01,3.141288041e+01
7.717027762e+00,6.124263961e+01,5.185554543e+01,5.971227906e+01,1.036340859e+01,8.553068545e+01,1.284557758e+01,7.743996503e+01,8.416708233e+01,9.768994309e+01,5.328222164e+01,7.113095056e+01,2.444447349e+01,8.069639434e+01,7.416210935e+01,8.401443157e+01,7.423235191e+01,5.672322065e+01,4.318843988e+01,3.213193454e+01,9.437685901e+01,1.716334762e+01,8.331886851e+01,4.438524349e+01,8.059174213e+01,6.339251703e+01,8.177676065e+01,4.673984038e+01,3.795020230e+01,8.238783217e+01,3.971700864e+01,4.419588561e+01,8.805302701e+01,8.707045608e+01,9.515968440e+01,7.610002996e+01,3.889382823e+01,2.074324882e+01,1.230484560e+01,1.424392919e+01,6.812643321e+01,5.700234100e+01,5.503289325e+00,2.072238669e+01,7.657464737e+01,6.853588167e+01,7.343276303e+01,8.644929013e+01,1.747926574e+01,4.900040253e+01,4.699715433e+01
1.930301993e+01,6.716451861e+01,8.059971523e+01,6.233685042e+01,6.891823171e+01,4.791029505e+01,9.178627674e+01,5.486997106e+00,9.532366950e+01,2.789514429e+01,1.037353724e+01,7.589597717e+01,5.567793743e+01,3.185841093e+01,1.536010475e+01,8.612593664e+01,5.820521248e+01,7.108729591e+01,6.859599333e+01,2.587894417e+01,7.052223740e+01,7.295507657e+01,9.026607867e+01,3.146864097e+01,4.113364034e+01,1.330196894e+01,6.526954099e+01,8.124681843e+01,4.999636141e+01,4.727940837e+01,1.782693021e+01,4.742602101e+01,6.828935666e+01,6.417399216e+01,9.272837068e+01,9.173062775e+01,1.106915647e+01,3.379863367e+01,1.125372669e+01,3.257249513e+01,5.891918469e+01,1.840282745e+01,7.411325109e+01,2.012277967e+01,2.804398533e+01,3.785685253e+01,6.430211708e+01,4.172094515e+01,9.300866354e+01,9.789726784e+01,8.723496626e-01
5.397689060e+01,5.158327155e+01,8.060319260e+01,5.694216890e+01,1.571354584e+01,2.447743710e+01,1.728941875e+01,4.101486144e+01,6.590871763e+01,1.250249729e+01,4.421021296e+01,5.211500571e+01,2.231440280e+01,6.465376888e+01,4.115643960e+01,5.340312166e+01,4.153865497e+01,9.242215210e+01,5.168081069e+01,2.665823837e+00,3.311717930e+01,7.331521788e+00,7.192625856e+01,1.476288018e+01,7.762690429e+01,6.112144688e+00,6.624329693e+01,5.345703614e+01,5.479101507e+01,1.947054410e+01,8.337881521e+01,4.389230766e+01,3.114883779e+01,4.420009829e+01,5.664608583e+01,3.279171439e+01,6.505988262e+01,9.860985539e+01,9.734322684e+01,7.990629892e+01,3.747419640e+01,3.103584050e-01,2.974377358e+01,8.967655261e+01,2.596580481e+01,8.152902668e+01,5.148337930e+00,9.736780923e+01,6.736234223e+01,2.850187832e+01,6.343333419e+01
1.127360077e+00,6.107434939e+01,5.193194855e+01,6.767286148e+01,7.915444893e+01,5.839536980e+01,8.905647326e+01,8.652897794e+00,7.652565069e+01,2.469601197e+01,7.194569715e+01,1.059622724e+01,4.199925540e+01,1.379206958e+01,3.722560646e+01,1.352166324e+01,7.203743137e+01,5.025469821e+00,3.806752942e+01,1.651495459e+01,4.829392474e+01,6.196442904e+00,7.269689849e+01,2.137865359e+00,4.328335264e+01,7.554275513e+01,6.550332621e+01,9.574339379e+01,7.828258616e+01,7.784993349e+01,5.289233558e+01,7.708071921e+01,8.984726255e+01,8.980133086e+00,6.104453898e+01,2.372216492e+01,5.545065068e+01,5.748012973e+01,7.616303994e+00,1.458631795e+01,2.683678774e+01,5.501738915e+01,9.803861951e+01,4.942060033e+01,5.844403399e+01,8.375464295e+01,3.950674938e+01,5.553503495e+01,4.755302964e+00,8.577505141e-01,3.321092257e+01
