v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33
7.897371441e+00,1.503174535e+01,1.583954345e+00,5.011431586e+01,4.257182393e+00,1.368750882e+01,8.091488100e+01,1.394297226e+01,6.824885666e+00,2.887856187e+01,3.827684165e+01,2.028693911e+00,8.428026650e+01,3.309366560e+01,4.294263298e+01,3.140888958e+01,8.544613144e+01,2.847651255e+01,1.951590786e+01,3.294639525e+01,2.829704691e+00,7.877477881e+01,6.437842859e+01,6.068051369e+01,9.511813636e+01,7.331516486e+01,9.069607092e+01,7.451866172e+01,5.464228386e+00,5.646875300e+01,1.669086659e+01,1.337291286e+01,5.619722146e+01
9.814548089e+01,7.328030367e+01,5.856328044e+01,7.384574259e+01,2.289258380e+01,8.995061663e+01,4.477282742e+01,5.390741303e+01,8.155949083e+01,1.968346956e+01,5.089989415e+01,7.461437199e+01,3.862708992e+00,4.050731723e+01,9.538537932e+00,7.443623349e+01,5.285976281e+01,6.562473113e+01,5.013492734e+00,6.614060643e+01,5.206436432e+01,1.776488660e+01,6.655404571e+01,4.159696205e+01,2.248615714e+01,1.811718392e+01,8.215014682e+00,2.347685936e+01,8.366970195e+01,6.119168723e+01,5.097773598e+01,7.880326425e+01,6.072841384e+01
5.815598899e+01,6.327227347e+00,6.532133778e+01,6.973777503e+01,4.294011956e+01,1.764805183e+01,5.380933739e+01,1.617838062e+01,6.688834375e+01,7.342805761e+01,7.716899151e+01,2.822145464e+01,8.993430313e+01,2.535266783e+01,9.068381209e+01,1.121620710e+01,4.791540037e+01,8.984165702e+01,2.810896441e+00,2.478855186e+01,9.706237020e+01,7.133667893e+01,6.932567684e+00,9.479156044e+01,5.728432325e+01,9.753880816e+01,4.556478851e+01,4.362532930e+01,7.803423198e+01,1.048881482e+01,2.689865890e+01,7.542366756e+01,5.626939885e+01
1.785467711e+01,4.812978316e+01,8.971624940e+01,2.859681046e+01,5.176045729e+00,2.824495178e+01,3.036627014e+01,6.776341682e+01,1.880893312e+00,5.151464769e+01,6.999956170e+01,8.481996271e+01,3.228087176e+01,2.825231585e+00,5.309502612e+01,7.140986354e+00,1.166382649e+01,6.739812989e+00,3.300184488e+01,2.709503198e+01,9.724517310e+01,3.711891688e+01,4.205356587e+01,9.566127419e+01,2.349858012e+01,7.170619182e+01,7.593263952e+01,4.144702503e+01,5.273204756e+01,7.405294545e-01,8.803751628e+01,6.378541482e+01,7.714029056e+01
4.550974805e+01,2.418913473e+01,9.473309295e+01,6.968424053e+01,9.314327835e+01,8.083210119e+01,5.919027643e+01,9.185376421e+01,9.563434275e+01,9.484140598e+01,1.500792162e+01,1.584463808e+00,1.918098099e+01,5.453600735e+01,8.335456671e+01,4.109548658e+01,4.219265100e+01,9.790238063e+01,7.004643898e+01,5.266748175e+01,2.822498985e+01,2.330373745e+01,2.743791176e+01,4.963706692e-01,1.687283303e+00,3.657982335e+01,4.178506255e+01,3.174498119e+01,5.553733802e+01,1.916061145e+01,1.929318252e+01,3.288865097e+01,4.606217289e+00
4.053797254e+01,7.040890460e+01,2.241666102e+01,1.084947345e+01,3.674375724e+00,2.815899021e+01,7.894646583e+01,8.407506818e+01,3.401999915e+01,3.438810053e+01,4.904284759e+01,6.788671740e+01,9.016441512e+01,6.520090488e+01,4.768750315e+00,1.319351435e+01,8.755511558e+01,7.104800461e+01,7.457432211e+01,7.414919049e+01,4.805637798e+01,7.701498492e+01,1.736938589e+00,9.651173100e+01,6.476841482e+01,8.989753548e+00,5.227131792e+01,5.799564553e+01,3.599059471e+01,1.420071426e+01,3.796545540e+01,9.840069332e+01,1.724649353e+01
3.179575221e+01,2.785725757e+01,8.420759208e+01,6.879345066e+01,5.814831621e+01,3.964707401e+01,4.637722120e+01,2.156213355e+01,1.145843958e+01,2.823791507e+01,8.678506327e+01,2.558811992e+01,4.355640372e+01,2.380439858e+01,8.806636977e+01,5.430124895e+01,6.684509328e+01,1.697974920e+00,7.858470776e+01,9.346767268e+01,8.956426138e+01,2.897282093e+01,1.650858566e+01,3.122293753e+01,6.879843476e+01,8.215194785e+01,6.699214128e+01,9.845457499e+01,3.095790612e+01,5.072965962e+01,2.040925910e+01,3.601540997e+01,4.265909929e+01
7.187928394e+01,3.110036736e+01,5.745133260e+01,5.243864116e+01,8.204298044e+01,4.352117390e+01,6.407203819e+01,3.664025185e+01,1.125999627e+01,3.278185123e+01,5.312897984e+01,1.931114496e+01,6.090520205e+00,2.390233526e+01,8.413935577e+01,2.650653194e+01,8.020943343e+01,3.366506463e+01,8.264066962e+01,7.059783819e+01,7.156762309e+01,9.060660939e+00,3.752910993e+01,3.445997620e+01,1.795289557e+01,9.830102554e+00,5.874578207e+01,2.332861005e+01,9.528363992e+01,1.699274869e+01,5.650696580e+01,4.294013493e+00,9.308546235e+01
8.005261667e+01,7.192862253e+01,9.570795910e+01,9.853380291e+01,8.548937197e-01,6.908885330e+01,8.314151085e+01,3.440420071e+01,3.713194421e+01,5.534646375e+01,8.090010969e+01,5.516377238e+01,7.402017839e+01,1.188853501e+01,6.856681418e+00,9.288211192e+01,2.445712163e+01,3.291723203e+01,6.916418428e+01,3.644827290e+01,6.104822033e+01,6.246283319e+01,1.254753781e+01,7.032571253e+01,5.220593285e+01,7.574891734e+01,9.295206303e+00,9.975105742e+01,3.602481343e+01,8.987329650e+00,6.243408164e-01,9.591627382e+01,5.506232203e+01
5.111011716e+01,2.748450732e+01,5.106512623e+01,8.780097764e+01,7.791319551e+01,2.794122479e+01,7.434048854e+01,5.692689733e+01,7.390205287e+01,3.957628818e+01,9.295533585e+00,6.964614173e+00,7.759670141e+01,3.013264859e+01,9.170092194e+01,7.025876208e+00,3.359501024e+01,7.226199785e+01,2.960393732e+01,9.563300683e+01,4.672215095e+01,8.511062407e+01,5.871330429e+01,6.602041806e+01,7.256397086e-01,8.571263176e+01,8.479016746e+01,3.724655523e-01,1.975169240e+01,1.475778119e+01,1.263745635e+01,6.549385752e+01,5.445227472e+00
6.543214468e+01,5.352483045e+01,1.327032989e+01,2.841235901e+01,7.509118624e+01,8.602921658e+01,3.250233447e+01,2.861024646e+01,9.957106797e+01,2.858426855e+00,6.213556392e+01,6.842059939e+01,7.455307170e+01,9.115789167e+00,2.390119724e+01,2.910347007e+01,7.144327094e+01,9.471499197e+01,5.466883180e+01,8.694262747e+01,9.481915005e+01,5.107410137e+01,3.600194752e+01,3.967328646e+01,7.379349985e+00,7.699764010e+01,6.841433129e+01,7.682112160e+01,3.774255057e+01,9.111934188e+01,3.693053117e+01,8.917740809e+01,1.896804614e+01
6.261548856e+01,5.485004891e+01,6.391083318e+01,4.032817190e+01,4.579009668e+01,4.233609446e+01,5.367624322e+01,4.359277380e+01,6.571816608e+01,5.176890033e+01,8.385898087e+01,7.834024103e+01,1.723206026e+01,8.410404603e+01,4.574579852e+01,1.207286762e+01,3.660415605e+01,8.124553538e+01,4.305334148e+01,7.990279709e+01,8.860904509e+01,1.994547900e+01,7.934663505e+01,5.220196083e+01,1.276190123e+01,5.975667534e+01,7.745509375e+01,8.733406098e+01,4.634936200e+01,8.895738804e+01,8.728318588e+01,3.936019682e+01,1.061449154e+01
7.110807571e+01,1.773977126e+01,7.355384017e+01,9.737645005e+01,6.134514055e+01,6.249649224e+00,8.760101961e+01,4.666525611e+01,4.430361253e+01,1.805904849e+01,9.156692776e+01,6.136575240e+01,6.356162059e+00,6.519827231e+00,7.583589461e+01,4.597543384e+01,9.112487250e+01,6.529737137e+01,4.920640239e+01,1.430382844e+00,7.512810433e+01,9.835788361e+01,5.966331805e+00,9.314015626e+01,7.329366533e+01,4.382040316e+01,2.664395627e+01,5.056838978e+01,1.314642883e+00,8.366126757e+00,8.425940404e+01,2.309934917e+00,7.133850549e+01
7.145650883e+01,9.609823757e+01,3.109850509e+01,3.964765525e+01,9.867147793e+01,1.070914445e+01,1.770576844e+01,6.841249654e+01,5.833008179e+01,3.134610576e+01,3.683250514e+01,8.788043268e+00,1.258579816e+01,2.474069142e+00,4.520555022e+01,6.906588825e+01,4.326676782e+01,4.022074255e+01,5.657949154e+01,4.446467360e+01,1.386770468e+01,3.269773469e+01,8.113286095e+01,5.423774792e+01,3.316515579e+01,6.315623497e+01,7.231034781e+01,3.497802328e+01,2.342265307e+01,2.404657435e+01,7.678798659e+01,1.579927949e+01,6.605324708e+01
8.376693223e+01,6.742006207e+01,9.833979102e+01,9.344226935e+01,6.404223552e+01,9.205400022e+01,9.472212707e+01,6.812621418e+01,2.750293518e+01,4.425674795e+01,8.968976966e+00,3.381863040e+01,2.772236175e+01,9.512922081e+01,5.398303766e+01,2.492667367e+01,2.304746274e+01,8.170729952e+01,4.565993666e+01,4.514173539e+01,8.263976799e+01,4.811709809e+01,8.594379783e+01,5.585023171e+01,5.325494995e+01,6.817303379e+01,5.337784690e+01,9.443152250e+01,7.942842575e+01,3.848458560e+01,3.563287954e+01,4.360892818e+01,6.544439094e+01
1.742764962e+01,9.119408912e+01,6.503563875e+00,4.539446104e+01,2.270533540e+01,3.241100687e+01,9.577907802e+01,1.011738797e+01,1.218012155e+01,7.142214749e+01,1.927437884e+01,1.588327068e+01,4.673543635e+01,4.929982807e+01,6.231674232e+01,7.005418966e+01,2.684079536e+01,8.745158088e+01,9.185113103e+01,8.370364777e+01,2.052161233e+01,9.996907715e+01,9.523599435e+01,6.301073882e+01,3.602970479e+01,3.012431207e+01,3.527699546e+01,5.542630850e+01,4.155492310e+01,9.965845627e+00,7.653552310e+01,9.166260520e+01,8.878373395e+01
3.109513827e+01,4.769382873e+01,4.146638763e+00,3.664341511e+01,7.897059601e+01,8.242670561e+01,8.239235027e+00,4.755937777e+01,1.248613397e+00,2.472128913e+01,6.507014895e+01,7.402627595e+01,7.937679761e+01,9.403515153e-02,2.441886599e+01,4.043530068e+01,6.641815229e+01,3.988473615e+01,4.135868500e+01,1.891695810e+01,5.489397527e+01,9.216197717e+01,8.333514686e+01,1.994611730e+01,3.719977699e+01,6.113729301e+00,8.878044902e+00,8.814346428e+01,1.209817730e+00,8.587381601e+01,4.764825176e+01,6.161207576e+01,9.991528749e+01
4.234763853e+01,2.663904676e+01,3.951161591e+01,8.076797658e+01,6.940292025e+01,8.209963785e+01,9.277278340e+00,3.213972201e+01,5.638731748e+01,4.010516795e+01,4.705567423e+01,1.797523400e+01,5.236433018e+01,7.683177256e+01,9.340459521e+01,7.069940999e+01,8.304145374e+01,1.649706258e+01,2.792421201e+01,2.454508042e+01,8.160554377e+01,8.711603140e+01,8.051607431e+01,4.556610266e+01,3.462417431e+01,8.104573792e+01,9.334693476e+01,5.030621622e+01,3.052727928e+00,4.351875096e+01,2.748217862e+01,3.865139751e+01,5.943484085e+01
8.096737300e+01,8.228162072e+01,5.279411901e+01,9.749365286e+01,2.039244562e+01,8.214070666e+01,4.544563657e+01,9.840487673e+01,4.707679753e+01,7.199996332e+01,6.753102835e+01,3.703231028e+01,5.595387691e+00,9.450745393e+01,9.154041852e+01,4.096985264e+01,8.332752175e+01,9.009875693e+01,1.945880891e+01,2.564988978e+01,3.549690805e+01,8.325498132e+01,5.603464541e+01,6.098573809e+01,4.731182279e+01,4.046762972e+01,7.537327272e+01,4.196143490e+00,3.473385416e+01,6.703997701e+01,3.854893948e+01,6.204478534e+01,5.485667092e+01
2.885295409e+01,6.824740748e+01,5.842935643e+01,6.391332820e+01,5.622290840e+01,2.516883217e+01,6.512516733e+00,3.628712122e+01,5.572141503e+01,8.306362518e+01,7.422271594e+01,5.643997233e+01,3.357250447e+01,7.497183768e+01,5.841733335e+01,7.439446830e+01,9.810158407e+01,6.267640851e+01,4.183264625e+01,7.351074578e+01,9.925690469e+01,3.423138871e+01,4.018291542e+00,8.440336780e+00,5.420476912e+01,2.664481410e+01,9.659933090e+01,4.470151405e+01,5.837158078e+01,5.973647337e+01,2.148452769e+01,3.210771714e+01,6.281020803e+01
7.439170232e+01,6.170271644e+01,5.696981937e+01,9.710082713e+01,5.749595353e+01,6.717602437e+01,2.345782420e+01,3.432052543e+01,6.864550081e+01,8.665922592e+01,3.736947088e+01,5.552022701e+01,4.157162278e+01,3.477172517e+01,7.410826453e+01,6.201564855e+01,7.617911565e+01,1.460958851e+00,2.532640080e+01,6.058804661e+01,8.292077347e+00,2.051315313e+01,7.367896601e+01,1.409781360e+01,1.529214515e+01,2.487452538e+01,6.801967009e+01,5.484916728e+00,5.598627155e+01,3.096133537e+01,3.415182525e+01,9.659409334e+01,8.241626128e+01
2.757928404e+00,9.887546431e+01,2.157828759e+01,6.696039683e+01,3.107438025e+01,8.818496305e+01,6.948899249e+01,1.473052850e+01,2.017108955e+01,7.964359304e+01,5.166478773e+01,6.725754454e+01,6.662446674e+01,2.128135681e+00,1.500957615e+01,1.405705186e+01,8.444515564e+01,3.170274077e+01,6.582135158e+01,6.746314699e+01,1.125277954e+01,8.098641461e+01,2.524249646e+01,2.426050251e+01,6.876290995e+00,7.002774199e+01,9.826803275e+01,9.042765490e+00,7.370635063e+01,2.276082503e+00,4.973215525e+01,3.045733240e+01,3.910301963e+00
9.914367632e+01,1.769979318e+00,6.808746931e+01,4.575694184e+00,4.285741981e+01,9.463482530e+01,3.506913767e+01,6.405273270e+01,3.936143699e+01,5.751572949e+01,3.565241121e+00,7.878110908e+01,9.986451132e+01,8.971586059e+01,9.360429294e+00,4.403489020e+00,8.164598608e+01,5.403867002e+01,1.158678481e+01,3.252210694e+01,9.424809679e+01,1.326688650e+01,6.272633214e+01,7.020525522e+01,2.994515264e+01,2.657525599e+01,6.524121990e+01,9.311606824e+01,4.434677745e+01,1.442858582e+01,2.153099898e+01,6.745095320e+01,9.286874327e+01
9.643970232e+01,3.246760983e+01,3.544839285e+01,3.263610207e+01,2.648997634e+01,2.100997513e+01,7.589644306e+01,3.773373830e+01,5.786011340e+01,5.893877938e+01,3.211517940e+00,5.954973793e+01,4.927579140e+01,6.835649734e+01,6.155122492e+00,9.941594510e+01,2.558833701e+01,2.917216762e+01,4.686431975e+01,5.845556392e+01,5.531224108e+01,9.405913062e+01,7.409420768e+01,1.764750255e+01,6.524428292e+01,3.879475862e+01,1.946833327e+01,8.158765394e+01,6.550503137e+01,6.393858551e+00,8.622368076e+01,4.590713858e+01,3.505367388e+01
6.016154104e+01,8.813649407e+01,9.743395744e+01,9.822444495e+01,8.318681382e+01,3.636006256e+00,9.369104616e+01,5.484607575e+01,9.637986409e+01,8.431805999e+00,8.997806276e+01,2.094204123e+01,1.868083740e+01,4.784959535e-01,5.030473745e+01,3.876291226e+01,6.757673311e+01,7.556106768e+01,6.718081946e+01,7.560783997e+01,1.487246589e+01,1.700855121e+01,2.401276591e+01,2.896577690e+01,6.675753635e+01,4.612872099e+01,1.026270800e+01,8.412086692e+01,9.615597996e+01,8.432055046e+00,7.304542138e+01,4.776340698e+01,2.316038989e+01
3.539790077e+01,9.214950558e+01,3.185970150e+01,4.314517672e+01,6.709070630e+01,1.784251274e+01,3.615551611e+01,5.242067454e+01,7.469898407e+01,8.867928316e+01,2.669556808e+01,8.405515822e+01,3.779397807e+01,8.754669687e+01,9.200376335e+01,2.877727791e+01,6.989191474e+01,1.963297373e+01,7.208667216e+00,9.663265527e+01,2.724208460e+01,4.539080793e+01,8.349007383e+01,6.531068345e+01,8.638853527e+01,6.138758793e+01,4.686343717e+01,9.649904683e+01,3.957774990e+01,7.280558424e+01,3.642874809e+01,1.347767740e+01,9.774592523e+01
9.293742151e+01,6.610296072e+01,8.530306701e+01,9.225943038e+01,6.652656770e+01,7.996661659e+01,9.713188459e+01,5.926231864e+01,8.397608028e+01,2.070447037e+01,8.081086486e+01,9.053737554e+01,6.543649784e+01,8.250627989e+01,7.916420429e+01,1.073176491e+01,3.712793247e+01,4.999807875e+01,2.687530041e+01,1.076685276e+01,4.275208065e+01,8.526679760e+01,8.831248370e+01,1.843308425e-01,5.188318319e+01,6.897188978e+01,1.215125500e+01,4.860793150e+01,6.237474572e+01,2.819351323e+01,1.155803952e+01,7.156627561e+01,6.492710448e+01
2.875482511e+01,7.086361444e+01,9.923334314e+01,1.731968993e+01,3.916278255e+00,4.189852217e+01,5.230845511e+01,9.996909325e+00,9.536346675e+01,6.589684575e+01,4.749986625e+01,5.072358571e+01,2.217642506e+01,1.890292470e+01,5.235976582e+01,6.577528439e+01,8.605891616e+01,7.129153463e+01,7.692114950e+01,2.513473416e+01,4.360585186e+01,1.430813008e+01,7.177321938e+01,3.508918538e+01,3.170620073e+01,4.734852919e+01,7.203132660e+01,2.869028807e+01,4.065412195e+00,3.634530924e+01,7.479049844e+01,3.747194636e+01,6.215473609e+01
9.495735652e+01,3.359273851e+01,9.949752240e+01,5.258381208e+00,7.725152196e+01,7.530449866e+01,4.581635392e+01,3.936522907e+01,4.277207523e+01,8.150433104e+01,8.739974497e+01,5.296988232e+01,4.769059861e+01,4.094701584e+01,7.906095522e+01,8.945316343e+01,3.857739778e+01,1.175020103e+01,7.814590559e+01,5.804764683e+01,6.344155769e+01,6.012019106e+01,1.055250992e+01,6.884010011e+01,7.518849546e+01,6.823686148e+01,6.667028312e+01,8.831780909e+01,9.328720570e+01,3.810653160e+01,3.585005257e+01,7.167194358e+01,6.082668485e+01
8.312497438e+01,7.402556049e+01,4.450939035e+01,4.070061874e+01,6.647854575e+01,8.701881058e+01,1.425926693e+01,7.559904171e+01,4.922637062e+01,3.038014803e+01,9.820593873e+01,3.142054884e+01,3.883951781e+01,4.418573087e+01,3.668854071e+01,1.015443946e+00,4.081572714e+00,8.571673727e+01,4.269803707e+01,8.212454082e+01,4.432629089e+01,5.076271955e+01,4.763496164e+01,4.241803272e+01,9.448424383e+01,2.508415885e+01,5.785024501e+01,2.255223171e+01,3.707379863e+01,2.423301099e+01,8.497832021e+01,1.112525198e+01,7.856308197e+01
3.091833472e+01,4.612320037e+01,4.725632174e+01,5.771185980e+01,2.724304264e+01,6.672095835e+01,6.131576396e+01,1.281236403e+01,1.376860858e+01,1.718734141e+01,1.352542066e+01,7.983785951e+01,4.666810011e+01,7.946888652e+01,4.987822825e+01,3.766000525e+01,6.132096664e+01,7.095108134e+01,8.368245065e+00,6.156237327e+00,1.821515784e+01,9.326546742e+01,8.072329416e+01,2.959837809e+01,4.099153056e+01,9.538421421e+01,7.193554898e+01,1.245214177e+01,1.122037716e+01,5.364432467e+01,1.862686484e+01,1.798054726e+01,9.420556526e+01
8.554717147e+01,7.507449516e+01,2.689284470e+01,4.049019980e+00,1.052605565e+01,8.008945143e+00,9.050044613e+01,7.324823820e+01,6.517171506e+01,7.126215768e+01,8.228142633e+01,6.304401218e+01,9.346661753e-01,2.810575680e+01,4.942390603e+01,8.266357872e+01,1.773411850e+01,8.225688708e+01,2.695460058e+01,1.994597303e+01,5.161355989e+01,1.918799860e+01,4.593290437e+01,4.138332182e+01,3.828260444e+00,8.068063859e+01,6.998756875e+01,3.761269216e+01,2.037748721e+01,3.002651346e+01,3.177286879e+00,2.366829517e+01,9.512040027e+01
1.725208966e+01,4.392373387e+00,4.863804421e+01,1.203923640e+00,8.174269090e+00,9.419300438e+01,6.310801145e+01,7.359883934e+01,1.740454526e+01,8.544297769e+01,3.329930183e+01,4.425180105e+01,3.389178736e+00,1.828226826e+01,8.541406565e+01,8.590721971e+01,5.668766213e+01,5.379543109e+01,4.442881891e+01,3.215557023e+01,2.734826840e+01,8.041336341e+01,4.935583905e+01,4.013501046e+01,4.148130281e+01,6.452529401e+01,2.300924446e+01,9.541953853e+01,1.302184910e+01,1.563715719e+01,4.028684088e+00,4.878890360e+01,8.944018393e+01
