v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50
1.071158897e+01,8.068980951e+01,9.211808318e+01,4.254577752e+00,1.178534500e+01,2.072644716e+01,1.552014241e+01,1.093024721e+01,5.865855732e+01,4.239668623e+01,8.152958506e+01,3.139468013e+01,5.593629103e+01,1.616165133e+01,1.303525352e+01,8.319919011e+01,3.693947462e+01,5.980743157e+01,6.058546696e+01,4.215688929e+01,6.704155691e+01,3.034545618e+01,5.669407494e+01,6.074814718e+01,3.747264547e+00,3.207994773e+01,8.481733257e+01,9.654908867e+01,1.471479957e+01,6.297282006e+01,1.617988420e+00,1.130945674e+01,5.490586272e+01,1.208187762e+01,4.974378702e+01,9.365086994e+01,3.132583487e+01,4.616376710e+01,4.559286061e+00,6.250284846e+01,7.774697544e+00,3.310089732e+01,8.844129243e+01,9.169825981e+01,1.391901707e+01,2.974508773e+01,9.949350382e+01,1.116985272e+01,6.697184979e+01,5.602623378e+00
1.815867500e+01,2.101296960e+01,6.554936096e+00,8.859681665e+01,3.551546159e+01,7.837357951e+01,5.355708474e+01,1.699437648e+01,7.659434876e+01,3.349022407e+01,5.338435580e+01,5.324462983e+01,2.451663958e+01,9.734614980e+01,9.217706723e+01,4.147031050e+01,9.153248082e+01,4.124322064e+01,3.110089798e+01,6.282475068e+01,5.627736158e+01,8.533291805e+01,6.854451216e+01,8.199471726e+01,1.584055686e+01,8.566500099e+01,7.579188941e+00,4.735860348e+01,7.229065052e+01,9.313386066e+00,1.092208127e+00,7.711390316e+01,5.196269850e+00,5.259103137e+00,4.756233453e+00,8.749823005e+01,4.615688281e+01,1.039640691e+00,8.222617059e+01,1.171398422e+01,2.355947055e+01,9.128384272e+01,3.113785988e+01,2.392393499e+01,2.972596092e+01,8.676893962e+01,6.040633592e+01,1.308928329e+01,4.549130916e+01,7.630834795e+01
8.479498205e+01,7.385808887e+01,2.969147775e+01,9.246914987e+01,6.131178151e+01,1.411992867e+01,7.130760513e+00,1.704802296e+01,5.994021068e+00,4.435406419e+01,9.837975112e+01,4.059486143e+01,1.612600210e+01,1.120549715e+01,7.579140674e+00,6.503353363e+01,9.232398325e+00,4.079292852e+01,7.836607085e+01,8.252841801e+01,3.058582938e+01,7.198909700e+01,5.139259317e+01,1.247229809e+00,3.859911271e+01,9.864758657e+01,6.693626415e+01,6.460916169e+01,5.809965219e+01,7.437677647e+01,6.148901263e+01,2.170129923e+01,1.991055991e+00,9.651912857e+01,8.624737137e+01,5.148370769e+01,2.505590144e+00,5.972554367e+01,8.845062398e+01,2.540286400e+01,1.902178008e+01,2.639894465e+01,5.216917201e+01,4.670635333e+01,4.007688434e+01,5.157412636e+01,2.767241569e+01,7.321427240e+01,6.874641729e+00,2.069341016e+01
5.287909201e+00,4.865881313e+01,4.682967012e+01,6.053209860e+01,7.863707192e+01,7.931336619e+01,9.854867515e+01,3.821165424e+01,9.126407202e+01,4.496002914e+00,5.533956537e+01,7.561177885e+01,6.057346258e+01,7.947611262e+00,7.332964700e+01,5.856236896e+01,3.282264382e+01,8.610083510e+01,6.955884022e+01,8.743697031e+01,6.169499203e+01,7.490062046e+01,3.340222949e+01,2.106612845e+01,1.122514300e+01,9.775427521e+01,7.051055647e+00,6.047208376e+01,1.530526005e+01,7.251177866e+01,8.541785412e+00,1.946884871e+01,2.307937976e+01,9.368503629e+00,9.528006561e+01,8.305683205e+01,1.762307258e+01,5.937228719e+01,3.036908006e+01,9.403202732e+00,5.380438382e+01,5.166961953e+00,6.651994622e+00,5.257503310e+01,9.550213115e+01,5.533987864e+01,6.229715535e+01,2.724472259e+01,6.197904785e+01,2.849086305e+01
4.434971352e+01,7.738158390e+01,3.996813459e+00,8.722860401e+01,9.669894791e+01,7.399898436e+01,9.244600029e+01,1.963648723e+01,4.350205241e+01,2.067516693e+01,8.904073854e+01,6.603327533e+01,8.093018724e+01,5.374025127e+01,5.816519012e+01,6.583761413e+01,9.891265731e+01,9.044933883e+00,9.694328454e+00,6.394289045e+00,4.460115196e+01,8.602258400e+01,6.244718170e+01,8.960375799e+01,2.502692618e+01,3.291410372e+01,4.961758161e+01,7.541212472e+01,2.573396082e+01,2.635948072e+00,3.297856412e+01,2.476369104e+01,8.090996672e+01,9.251103882e+01,9.936640916e+00,4.841633425e+01,8.078819042e+01,1.121769353e+01,5.987073340e+01,3.329235506e+01,9.170569241e+01,6.712999203e+01,9.137315968e+01,4.495171744e+01,4.401471611e+01,3.033736262e+01,7.412985282e+01,3.796626436e+01,6.080539977e+01,1.687125286e+01
4.807641799e+01,9.607462194e+01,4.103939260e+01,7.102563904e+01,9.740087080e+01,4.208656808e+01,3.427306369e+01,3.578786658e+01,8.592273407e+01,2.030593095e+01,6.451725388e+01,7.268647467e+00,7.340902154e+01,9.334469916e+01,8.447025873e+01,2.640316761e-01,4.736656975e+01,8.439359110e+01,4.530670745e+01,5.203602203e+01,8.510489454e+01,9.662247205e+01,3.931710044e+00,5.505709946e+01,4.437078576e+01,6.585741095e+01,4.354497984e+01,5.424540606e+01,3.218573085e+01,9.387336690e+01,5.267838968e+01,1.141201538e+01,8.126712161e+01,4.449589109e+01,9.778427293e+01,5.853125300e+01,2.140235185e+01,3.802706223e+00,1.635544130e+01,2.634051620e+00,2.749736843e+01,1.524761275e+01,5.888588997e+01,7.062286071e+00,2.150640940e+01,1.567500222e+01,1.584604774e+01,3.859168486e+01,5.709467237e+01,6.226764486e+01
9.643480354e+00,5.898884293e+01,3.822135176e+00,8.075266142e+01,1.884788445e+01,8.411514571e+01,8.679017028e+01,1.391582575e+01,2.459158190e+01,3.372249723e+01,4.604287819e+01,2.072448281e+00,2.991725159e+01,6.291649138e+01,9.097312447e+01,1.912702253e+01,7.488499552e+01,8.974371285e+01,3.131518547e+00,3.182263908e+01,7.249032198e+01,2.172006429e+01,8.153181347e+01,9.416844684e+01,7.089877534e+01,8.821827621e+01,8.295104962e+01,9.629914581e+01,9.704950580e+01,1.471023881e+00,5.039956239e+01,6.786394574e+01,4.263676369e+01,8.554247359e+01,6.829014640e+00,3.497526103e+01,6.791945829e+01,5.442119412e+01,6.158664303e+01,8.650844367e+01,8.160188809e+00,4.802004465e+01,7.583057411e+01,3.653868698e+01,6.185505280e+01,4.565759331e+01,6.207435135e+01,8.276534032e+01,8.180229484e+01,8.690743888e+01
9.983022209e+01,7.891142806e+01,7.428616372e+01,1.306508549e+01,6.652842760e+01,5.211453643e+00,6.972374778e+01,1.985683010e+01,6.724609500e+01,4.457784888e+01,1.527264714e+01,8.989546991e+01,6.471691834e+00,3.593626731e+01,3.012991131e+01,1.266337683e+01,4.816982736e+01,8.090357718e+01,7.065905909e+01,4.973217603e+01,1.716077290e+01,1.037638240e+00,5.909481560e+00,9.125771723e+01,1.395348958e+01,6.940564757e+01,2.091882611e+01,8.866966773e+01,3.560520376e+01,4.722767880e+01,4.969794665e+01,3.898561744e+01,8.067907089e+01,8.268739714e+01,2.546602134e+01,2.351804178e+01,3.918707690e+00,4.590511651e+01,9.016398084e+01,6.249726190e+01,1.875908605e+01,3.624229639e+01,5.927168512e+00,4.121349865e+01,6.986193241e+01,5.674171060e+01,9.607589009e+01,5.204037170e+01,2.955637930e+01,2.248001607e+01
8.589625922e+01,2.832755243e+01,1.800831117e+01,9.380610268e+01,1.072288065e+01,9.215319907e+01,7.998539462e+01,5.225209558e+01,9.014914224e+01,9.227510326e+01,8.659727751e+01,3.639776202e+00,5.771483736e+01,9.118179512e+01,9.547628667e+01,6.116167458e+01,9.428080661e+01,6.850185472e+01,3.271321709e+01,1.083164127e+01,5.844711460e+01,5.468468978e+00,9.550228649e+01,5.157074382e+01,2.254201250e+01,8.064233413e+01,4.227962879e+01,8.515262639e+01,3.045686617e+01,7.641086856e+01,2.600999534e+01,1.450302954e+01,8.114689096e+01,2.945089532e+01,9.567939554e+01,3.860166298e+01,7.206776723e+01,8.449186680e+01,7.983255710e+01,5.358605768e+01,7.085124068e+01,5.896368643e+01,9.353221908e+01,9.604278839e+01,5.032225365e+01,3.143871623e+01,1.703213953e+01,1.454651665e+01,8.778982082e+01,7.662236603e+01
6.528809629e+01,4.646365411e+01,2.290967515e+01,3.131925858e+01,3.096956454e+00,5.348153703e+01,5.649992286e+01,7.862073905e+01,2.747395404e+01,7.782489382e+01,5.784417029e+01,4.567580115e+01,4.197587991e+01,9.246597136e+01,3.068841292e+01,8.116616266e+01,4.893322566e-01,8.245480436e+01,9.847339979e+01,7.952867733e+01,6.668085843e+01,3.359365427e+01,5.084619454e+01,5.026587721e+01,4.855676936e+01,3.409272601e+00,7.361935549e+01,4.460454359e+01,9.477148315e+01,1.834949526e+01,2.220043263e+01,3.816938413e+01,3.483092443e+01,6.763766751e+01,9.867670089e+01,7.399390571e+01,2.734933556e+01,5.233241864e+01,8.330241610e+01,4.585231990e+01,8.221955735e+01,7.289640743e+01,9.745245902e+01,3.011806588e-01,7.912828083e+01,3.783110986e+01,1.857531304e+01,3.142890102e+00,9.307595288e+01,3.273033257e+01
1.628714872e+01,5.582369486e+01,8.004199176e+01,8.810960228e+01,4.302241580e+01,7.444706163e+01,3.243772538e+01,5.748308834e+01,6.543707215e+01,2.519719428e+01,2.986091192e+00,5.814570876e+01,7.156819965e+01,1.655091975e+01,9.046835169e+01,7.012277268e+01,9.021804927e+01,6.201991454e+01,5.569609433e+01,2.814959289e+01,5.213715209e+01,7.731573895e+01,1.816651162e+01,1.319575966e+01,7.172808365e+01,4.516444237e+01,8.589460761e+01,8.294722377e+01,4.663275522e+01,6.946414529e+01,2.348054624e+01,6.206166443e+01,8.733036916e+01,8.018938684e+01,9.532983614e+01,2.159921592e+01,3.270004578e+01,6.599549433e+01,4.158925289e+01,5.530566004e+01,1.153426866e+01,1.634233138e+01,1.106314094e+01,2.713440359e+01,9.232293048e+01,2.290076064e+01,2.735276904e+01,4.299720031e+01,4.060070442e+01,4.417897434e+01
7.319282554e+01,7.884972514e+01,7.071017102e+01,1.105377551e+00,1.661272942e+01,6.767136931e+01,1.604790271e+01,7.773185439e+01,4.502362798e+01,6.133398681e+01,6.632439035e+01,6.456705875e+01,5.759508495e+01,5.928023330e+01,8.989521334e+01,7.776830417e+01,8.270799305e+01,4.576268012e+00,9.226766074e+00,6.603532505e+01,9.794992293e+01,7.571892537e+01,4.313188774e+01,8.230030598e+01,6.972153274e+00,9.791566579e+01,3.292482323e+01,2.979670373e+01,4.992424794e+01,4.283926436e+01,6.381993190e+01,9.850531987e+01,6.672302637e+00,5.084503615e+01,5.685618003e+01,8.955104722e+01,3.934203738e+01,7.887810978e+00,5.818700430e+01,5.044557885e+00,3.656238937e+01,1.428457476e+01,7.212453425e+01,6.553359575e+01,8.403967179e+01,1.438459440e+01,5.182784782e+01,6.359882521e+01,1.023208268e+01,3.158066934e+01
2.351064172e+01,2.582418787e+01,5.772622137e+01,4.921882923e+01,9.619114912e+01,6.858939804e+01,7.928886057e+01,1.215158264e+01,7.917264143e+01,3.062024876e+01,6.528746016e+01,3.420516574e+01,4.130307568e+01,6.680180563e+00,4.676538205e+01,8.046008998e+01,6.930497842e+01,9.169311117e+01,8.408604938e+01,9.254344579e+01,7.107621712e+01,3.541255006e+01,2.908941203e+01,4.418322925e+01,1.156485273e+01,8.086972473e+01,1.661498389e+01,9.773091212e+01,5.332720669e+01,1.898484132e+01,5.188103344e+01,5.773576583e+01,8.684617246e+01,7.739321536e+01,1.329971469e+01,6.740296970e+01,6.337499153e+01,5.584626707e+01,6.948141690e+01,1.962269030e+01,4.243437007e+01,6.512162688e+01,9.574362308e+01,5.498138731e+01,1.654193688e+01,1.648614114e+01,9.905888411e+01,2.144627764e+01,1.171837411e+01,6.294280162e+01
5.904823571e+01,6.256421232e+01,5.383738352e+01,8.569923097e+01,2.621033375e+01,4.650386557e+01,2.965475835e+01,3.086532792e+01,6.217905153e+00,4.772390016e+01,9.683269005e+00,5.254053026e+01,9.399614334e+01,3.057113712e+01,7.382333467e+01,3.585137749e+01,8.661793253e+01,9.484894469e+01,7.543078681e+01,9.665732744e+01,5.243432629e+01,3.512399650e-01,5.338797689e+01,6.096487719e+01,1.856701165e+01,5.832852543e+01,6.898112970e+01,6.753700840e+01,8.400730048e+01,5.680169258e+01,5.816559479e+01,6.558551995e+01,9.814852683e+01,2.736149749e+01,4.011329797e+01,1.996736476e+01,8.906201054e+01,9.033924585e+01,9.336740732e+01,2.960228493e+01,8.201365766e+01,6.625704462e+01,1.911791790e+00,5.938757459e+01,2.297887118e+01,6.358098216e+01,1.746345212e+00,7.147775633e+01,5.175314887e+01,6.648528285e+01
2.116874670e+01,7.143229573e+01,9.632323091e+01,1.190090721e+01,3.435630607e+01,3.174361739e+01,3.088326805e+01,2.980098879e+01,7.843001979e+01,4.127080170e+01,9.826266406e+01,9.828617595e+01,1.109027313e+01,1.548971055e+00,9.116396803e+01,1.864138790e+01,5.910753222e+01,4.271315201e+01,5.498143267e+01,6.587118775e+01,6.750573660e+01,9.860903244e+01,4.510475158e+00,8.657021514e+00,1.939605003e+01,1.442745681e+01,3.359196632e+01,2.857473048e+01,4.361890762e+01,1.923269371e+01,9.903141513e+01,2.353781859e+01,4.928394972e+01,4.974012671e+01,1.522572068e+00,1.931119552e+01,9.587197239e+01,5.953333050e+01,3.706982421e+01,5.677015829e+01,6.273951077e+01,4.955913387e+01,6.093588313e+01,3.976994178e+01,7.927092946e+01,7.868322060e+00,4.132346430e+01,8.458076043e+01,7.883509198e+01,2.674806709e+01
1.989673596e+01,2.668785742e+01,2.637871844e+01,6.264505525e+01,8.875895520e+01,4.708681982e+01,3.353175574e+01,9.436962069e+01,9.482733928e+01,8.182129790e+00,9.483093851e+01,7.779698160e+01,9.591277346e+01,6.316462255e+01,5.410933376e+01,2.653883703e+01,4.544068185e+01,1.146531929e+01,5.412463803e+01,8.341037900e+01,6.259932882e+01,4.544008733e+01,6.526429822e+01,5.804522817e+01,6.880090833e+01,8.363792420e+01,5.001851634e+01,3.432895055e+01,9.604710886e+01,6.764259849e+01,2.361869914e+01,1.341683227e+01,4.339830828e+01,8.029295673e+01,4.932824494e+01,2.030000148e+01,3.245714661e+01,7.738322087e+01,9.093690385e+01,3.055020071e+01,1.105800323e+01,8.119427930e+00,5.253887793e+01,5.453484804e+00,7.404339238e+00,5.061929168e+01,8.624666023e+01,3.764631076e+01,6.399010320e+01,1.988625337e+01
5.753879347e+01,1.443957020e+00,4.165178123e+01,9.684260549e+00,5.883031663e+01,2.567336407e+00,7.054922534e+01,1.932391317e+01,4.840818761e+01,9.761259460e+01,9.057712696e+01,7.680690886e+01,3.319229404e+01,9.460187010e+01,4.440570169e+01,5.580535438e+01,6.342738973e-01,9.665693883e+01,3.321672569e+01,4.781459995e+01,8.983184943e+01,7.334951747e+01,2.443142114e+01,8.526748321e+01,3.111306985e+00,2.883636613e+01,8.008795070e+01,1.822019687e+00,9.151201272e+00,1.888030140e+01,4.154584028e+01,7.778634187e+01,9.751401544e+00,8.493235145e+01,5.187384626e+01,1.820964709e+01,8.558857866e+01,1.333174514e+01,2.833478723e+01,3.749894416e+01,1.222145213e+01,2.745271305e+01,8.727483019e+00,3.595728855e+01,1.677491806e+00,6.172695569e+01,8.710049491e+01,1.746435384e+01,1.840306522e+01,4.897276597e+01
9.913141821e+01,9.023493079e+01,5.466508639e+01,8.205491207e+01,9.019495701e+01,6.322740072e+01,8.077085692e+01,3.661725219e+01,2.962937272e+01,2.962500038e+01,9.412571092e+01,6.110163617e+01,5.901732347e-02,4.734424937e+01,1.592199560e+01,9.983282678e+01,3.998594641e+01,5.436508522e+01,9.044509759e+00,7.897778774e+01,3.482286646e+01,4.311723324e+01,7.761600759e+01,6.054388759e+01,1.594131647e+00,7.461946238e+01,8.873499748e+01,9.527247806e+01,8.383286415e+01,5.228279776e+01,8.551534953e+01,5.412657807e+01,4.133505731e+01,4.780859495e+01,8.251183787e+01,8.828998146e+00,1.320228269e+00,2.047907870e+00,5.004608335e+01,2.027694265e+01,6.029384725e+01,5.095157786e+01,7.407490062e+01,4.815245698e+01,7.046502871e+00,3.502431493e+01,6.298476094e+01,6.613551381e+01,8.925811184e+01,7.195369270e+01
6.905590312e+01,6.826680938e+01,4.066516770e+01,1.066418934e+01,4.689197455e+01,1.250735146e+01,5.725964450e+01,7.737324596e+01,9.713947711e+01,2.465692694e+01,1.185320703e+01,5.829081562e+01,3.308736680e+01,4.673898498e+01,5.109159862e+01,9.921747865e+01,6.536909818e+01,3.414047204e+01,3.019200290e+00,9.617557497e+01,1.393954153e+01,2.074184875e+01,5.259691788e+01,3.290098324e+01,4.029073051e+00,5.220347461e+01,4.850546503e+01,4.421591761e+01,8.796199088e+01,1.218981753e+01,9.809004216e+00,5.085858649e+01,5.799613796e+01,3.335410120e+01,9.708558940e+01,2.271203170e+01,3.236403907e+01,9.764549307e+01,1.533921098e+01,6.856621800e+01,8.378330299e+01,8.514790901e+01,9.553490373e+01,2.170033012e+01,5.640597013e+01,6.779542924e+01,3.003162730e+01,4.641797493e+01,7.986019119e+01,3.924948932e+00
8.629773122e+01,3.195226500e+01,7.309355272e+00,1.287924004e+01,9.391266385e+01,7.563931076e+01,7.220634408e+01,5.614378496e+01,2.109040218e+01,2.494940581e+01,1.855105670e+01,8.142576383e+01,8.368851774e+01,4.548937141e+01,2.387504211e+01,7.029405388e+01,1.147765695e+01,5.921154439e+01,9.788541659e+01,1.025196763e+01,8.396477322e+01,5.223820464e+01,4.536630739e+01,8.129550387e+01,7.006387606e+01,8.493186704e+01,4.819133914e+01,3.576862085e+01,5.946070586e+01,7.816091489e+01,5.299517133e+01,4.740201246e+01,9.280417642e+01,8.361082574e+01,8.881729162e+01,4.882044023e+01,3.176984843e+01,3.512191750e+01,2.402961280e+01,5.638798240e+01,7.655279193e+01,4.220343780e+01,1.390648299e+01,1.769842721e+01,7.179076262e+00,1.442935893e+01,3.336899716e+01,8.538054359e+01,5.474675167e+01,8.243889155e+01
