v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
5.193992447e+01,8.077726950e+01,2.299465321e+01,4.648538630e+01,7.985963010e+01,1.340787052e+01,2.019836037e+01,8.003292906e+01,5.039241061e+01,4.174522911e+01
3.760532822e+01,4.598631642e+01,4.118609729e+01,5.266803980e+01,4.956577089e+01,8.496181177e+01,5.296808610e+01,8.215934793e+00,5.490871891e+01,5.267931219e+01
6.591765492e+01,9.805352008e+01,3.879855437e+01,2.017271224e+01,1.926126833e+01,4.747754493e+01,9.872980444e+01,5.285811094e+01,4.712820959e+00,5.500819723e+01
2.990059065e+01,8.287349843e+01,6.268837210e+01,8.887458828e+01,6.097114397e+01,9.818825744e+01,2.753173387e+01,8.936465988e+01,4.458937710e+01,1.454678404e+01
8.713829556e+01,7.579788273e+01,1.686043836e+01,5.953706792e+01,7.236657813e+01,7.848509684e+01,3.818696900e+00,8.518768862e+00,1.326248964e+01,8.484005996e+01
6.920622583e+01,7.432687906e+01,3.324723404e+01,3.961421962e+01,5.867157635e+00,2.553399637e+01,3.829907502e+01,2.648433992e+01,6.077701293e+01,3.525934684e+01
5.163129330e+01,4.468411718e+01,5.125621832e+01,2.155262461e+01,7.908717495e+01,1.839514402e+01,6.112662082e+01,1.279445688e+01,2.077402514e+01,2.658769793e+01
7.802021506e+01,5.631932048e+01,3.707080101e+01,7.560627869e+01,1.288437699e+01,3.421496128e+01,2.478352110e+01,5.618136782e+01,3.173530156e+01,6.838680786e+01
2.284920054e+01,2.988466543e+01,2.090058031e+01,7.750180379e+01,6.132316096e+01,5.264045313e+01,3.446195169e+01,6.859537834e+01,3.497317681e+01,2.174361368e+01
1.896114983e+01,4.356326506e+01,7.802908379e+01,4.265163114e+01,9.967712755e+01,1.011651489e+01,5.354090130e+01,1.248642884e+01,3.604768000e+01,3.094851366e+01
9.087101030e+01,8.674028491e+01,9.285896065e+01,3.958592424e+00,1.437481227e+01,5.227162875e+01,1.337722386e+01,9.005191427e+01,3.646342647e+01,3.318005349e+01
6.268040985e+01,5.532390770e+01,7.844112187e-01,9.879956726e+01,5.573324142e+01,3.147314954e+01,1.755340876e+01,3.861011380e+00,4.445704148e+01,2.076017604e+01
6.098947759e+01,6.568760963e+01,6.280267480e+01,3.706857366e+01,8.946971455e+01,2.783263819e+01,8.614621364e+01,9.175970414e+00,4.012955087e+01,5.171434922e+01
5.477578727e+01,9.620759663e+00,1.086913243e+01,8.711571166e+01,2.372678053e+01,7.997918978e+01,7.101881059e-01,1.715330156e+01,7.528354069e+01,6.163388861e+00
5.700422132e+01,6.149790302e+01,5.574440509e+01,7.975530195e+01,8.610916401e+01,7.226282292e+01,1.394323503e+01,8.012530045e+01,8.502247079e+01,6.150876210e+01
8.278836563e+01,8.466855911e+01,6.676933651e+01,9.005189121e+01,4.270971799e-01,4.350395966e+01,6.511443476e+01,7.887144193e+01,2.821145510e+00,6.571393118e+01
6.788569039e+01,9.543859684e+01,2.057395473e+01,2.172014082e+01,2.056967446e+01,4.893037230e+01,1.197170984e+01,1.893359840e+01,9.070900027e+01,9.708629773e+01
4.591279175e+01,1.293029065e+01,9.969539431e+01,1.342136397e+01,2.165128178e+01,6.560277755e+01,3.228913187e+01,7.773026856e+01,7.134232082e+01,9.768463217e+01
8.003557357e+01,3.955502974e+01,6.803295106e+01,9.138911788e+01,6.240272678e+01,9.316949499e+01,5.412532420e+01,6.017325003e+01,7.646017082e+01,8.295987385e+01
9.427167449e+01,4.157883229e+01,9.042466674e+01,2.167291368e-01,5.561671899e+01,8.212875407e+01,2.403367463e+01,8.140352731e+01,8.769936900e+01,4.504600457e+01
2.088023369e+01,6.746535937e+01,2.429880851e+01,3.809254263e+01,3.777625775e+01,3.410462254e+01,5.950610726e+01,1.025595400e+01,9.739642631e+01,7.004325373e+00
4.922806047e+01,4.397566290e+01,6.664394814e+01,7.270192637e+01,9.304236004e+01,9.776949187e+01,2.881565674e+01,5.847323999e+01,4.048173192e+01,8.531156473e+01
2.029461094e+00,8.990034061e+00,6.434159745e+01,5.867570756e+01,3.043645912e+01,8.084031417e+01,3.782234788e+01,4.544632159e+01,8.477574099e+01,7.381057672e+01
7.166714754e+01,9.386394532e+01,5.636018080e+01,5.607239822e+01,1.838860334e+01,9.412015817e+01,1.055276414e+00,9.218763070e+01,1.285166416e+01,9.931515694e+01
1.806261443e+01,4.895347991e+00,3.726808555e+01,9.527656436e+01,4.067087034e+01,7.527615731e+01,6.313170526e+01,6.866581976e+01,4.906106466e+01,7.888941144e+01
5.866761598e+01,5.924228359e+00,3.064265146e+01,7.605659384e+00,6.128232815e+01,9.912354142e+01,2.658857841e+01,6.438188009e+01,2.781434478e+01,1.353761256e+01
8.483385806e+01,8.734086986e+01,4.839193135e+01,5.073681848e+01,4.115747238e+01,4.011335821e+01,4.688594526e+01,9.089731754e+01,5.693010267e+01,9.566257624e+01
8.307975545e+01,1.815917096e+01,5.806006933e+00,8.982884544e+01,8.437116306e+01,6.458250400e+01,1.992527745e+01,8.128326937e+01,9.744644414e+01,4.128715820e+01
5.660022235e+01,4.561777830e+01,6.786182864e+01,7.075275978e+01,5.272335612e+01,1.691567200e+01,2.822831332e+01,4.118561412e+01,2.557001716e+01,1.335247946e+01
5.098438409e+01,8.456460376e+01,5.992968881e+01,3.322323182e+01,3.557826865e+01,7.559341030e+01,2.037750301e+01,6.353043936e+01,9.250275628e+01,9.291983772e+01
7.818529814e+01,8.826718278e+01,6.474160972e+01,8.350982565e+01,9.701271996e+01,6.609996556e+01,5.889623271e+01,6.780861556e+01,6.574969734e+00,2.808763355e+01
9.854203084e+01,8.631191477e+01,8.839915215e+01,6.692757456e+01,9.457597175e+01,9.523575406e+01,9.385902579e+01,8.421959319e+01,9.525575862e+01,8.276907936e+01
6.134050950e+01,3.443999343e+01,3.838715314e+01,7.822296052e+01,2.519863736e+00,9.620226154e+01,1.044078334e+01,7.507662225e+01,2.762613094e+01,3.950358338e+01
5.151481047e+01,7.979209051e+01,3.934395053e+01,1.563175543e+01,9.241914986e+01,3.089884047e+01,7.993707836e+01,6.683024376e+01,2.228308022e+01,1.274320373e+00
8.517860671e+01,8.406100921e+01,8.696442091e+01,5.066754380e+00,1.812424428e+01,8.642266074e+01,7.668542788e+01,7.139494608e+01,1.095292748e+01,1.300229343e+01
4.039302114e+01,8.664339827e+00,6.606151912e+01,7.356400530e+01,3.113391768e+01,1.331000413e+01,4.313858171e+01,6.154310900e+00,9.911075184e+01,3.725429488e+01
5.766921717e+01,1.739868298e+01,7.736100048e+01,2.472100782e+01,7.675735752e+01,7.061867052e+01,3.540755071e+01,1.740676114e+01,2.186413981e+01,7.496705111e+01
2.594982302e+01,7.354174658e+01,6.569857327e+01,4.440341149e+01,2.664644057e+01,5.515247284e+01,5.175677357e+01,3.159052942e+01,4.917691076e+01,4.349201084e+01
6.161781883e+01,3.697893031e+01,3.267748404e+01,8.159589844e+01,8.501255694e+01,6.837669038e+01,5.044491119e+01,5.026605833e+01,9.191201006e+01,8.512238049e+01
8.263686600e+01,3.857193651e+01,8.912248786e+01,4.712432627e+01,9.741829503e+01,9.155816004e+01,5.968515025e+01,7.636625382e+00,9.363915989e+01,1.697707244e+00
8.317129710e+01,9.337566463e+01,3.297370807e+01,1.232056163e+01,1.536915958e+01,7.188712654e+01,8.267959955e+01,5.172526760e+01,2.860209565e+01,4.614955744e+01
5.115679806e+01,6.171062889e+01,1.886657836e+00,3.553877945e+01,1.590270145e+01,7.945865663e+01,7.698142042e+01,9.139586732e+01,9.082085952e+01,2.267560038e+01
9.520640717e+01,3.044093874e+01,1.297714491e+01,3.778952020e+01,3.469180642e+00,2.022621756e+01,2.174148772e+01,2.101628339e+01,2.986006358e+01,8.453080779e+01
3.831234803e+00,1.310750318e+01,9.331510636e+01,1.929585182e-01,6.939156834e+00,7.167983343e+00,3.193286663e+01,7.569220053e+01,5.600382214e+01,4.728543579e+01
1.637169850e+01,6.416663271e+01,8.067225732e+01,6.651127310e+01,2.302144330e+01,9.740980367e+01,1.822767597e+00,7.987285852e+01,6.750603454e+01,6.550732664e+01
2.863978991e+01,9.644225810e+01,7.679003002e+01,4.702955811e+01,9.577651939e+01,3.253595821e+01,3.453143479e+01,6.314235226e+01,6.561462600e+01,3.777422684e+01
2.221475712e+00,9.551743228e+01,6.007820397e+01,9.584113488e+00,6.167506173e+01,1.505625466e+00,4.157338948e+01,4.609042965e+01,2.827707146e+01,4.837678696e+01
3.055431163e+01,9.178400835e+01,5.986608619e+01,7.790781738e+01,8.031925751e+01,3.863911674e+01,6.866660271e+01,5.756424863e+01,7.461847725e+01,6.665682220e-01
4.270413766e+01,1.905238430e+01,1.354857078e+00,7.410049655e+01,7.135873367e+01,2.841176835e+00,5.878731445e+01,3.393118889e+00,5.891627351e+01,5.386993017e+01
1.647391708e+01,1.488816736e+01,5.709624905e+01,3.834071425e+01,2.821214199e+01,4.984548816e+01,7.904837187e+01,2.212487351e+01,3.480740087e+01,4.727884152e+00
5.855813903e+01,5.594739465e+01,5.758010262e+01,8.856658792e+01,5.709127975e+01,9.214495329e+01,3.805192456e+01,5.471462563e+01,6.696931623e+01,4.921308711e+01
7.833031663e+01,8.551626144e+01,1.665489791e+01,8.552930486e+00,1.012248065e+01,5.641188397e+01,6.216036714e+01,8.853862986e+00,8.630392419e+01,5.802526968e+01
7.550250982e+01,8.585530590e+01,8.669435331e+01,1.156970114e+01,1.770906102e+01,2.490373905e+01,8.787767700e+01,6.092151629e+01,3.851886145e+01,2.439276786e+01
6.428066869e+00,7.460857818e+01,8.967342410e+01,4.213882520e+01,9.273317010e+00,2.711101855e+01,2.622779932e+01,1.315451991e+01,4.118317789e+01,4.595394677e+01
4.076801544e+01,1.371375442e+01,1.375515080e+01,3.308115616e+01,5.024136424e+01,9.513110183e+01,9.081534597e+01,1.172367618e+01,4.315007587e+01,5.823690914e+01
3.963033144e+00,9.219883011e+01,2.960991054e+01,8.030464512e+01,4.039945319e+01,7.378135758e+01,8.539549675e+01,7.911114546e+01,3.081140172e+01,9.148565689e+01
3.864940109e+01,5.164440360e+01,5.978399434e+01,9.488677859e+00,2.522920436e+01,5.806514428e+01,3.230287150e+01,3.208761719e+01,6.875091287e+01,2.295230216e+01
7.448262172e+01,7.753958360e+01,9.396518568e+01,3.467220272e+01,1.245359450e+01,1.482819619e+01,2.358461258e+01,3.983133774e+00,1.623300805e+01,6.880595563e+01
8.940158900e+01,7.402723312e+01,5.786880109e+00,6.583090938e+01,7.470888220e+01,3.204873946e+01,6.559442225e+01,8.323371648e+01,7.549996501e+01,5.510715408e+01
3.158674800e+01,1.174458045e+01,9.942561440e+01,8.000341832e+01,4.913763129e+01,6.986595117e+01,7.190307635e+01,9.325398090e+01,2.303224837e+01,3.549743114e+01
1.118197570e+01,9.733985904e+01,8.673676399e+01,6.417692002e+01,2.037980421e+01,1.421948929e+00,9.259882677e+01,4.053532923e+01,1.980263958e+00,5.933992803e+01
4.189344552e+01,5.703139853e+01,8.869910439e+01,4.730413974e+01,9.039635449e+01,1.264023254e+01,4.011884786e+01,5.856854620e+01,3.333780390e+01,8.093565470e+01
1.864830415e+01,8.958263242e+01,8.630747402e+01,6.601008333e+01,3.470374774e+01,5.763801849e+01,7.702518324e+01,7.287069079e+01,4.392027890e+01,6.416248889e+00
4.444450663e+01,6.934256331e+01,6.451629103e+01,4.171929976e+01,5.254535588e+01,4.874973957e+01,6.567492202e+01,4.944066744e+01,1.084050172e+01,5.287453525e+01
3.019608301e+01,3.723143110e+01,4.533380736e+01,7.395607706e+01,9.715787929e+01,8.605582587e+01,8.082113506e+01,3.029856462e+01,6.890525533e+01,6.022929776e+01
6.190680387e+00,3.208798202e+01,9.990880189e+01,2.545151819e+01,1.082077099e+01,5.208531464e+01,7.917106340e+01,7.593504150e+00,8.062623911e+01,8.121223079e+01
8.217248743e+01,9.247619445e+01,7.101781359e+01,4.514223163e+01,5.770182264e+01,4.556336559e+01,7.739734664e+00,4.723039261e+01,1.924673592e+01,6.309624982e+01
4.673775106e+01,7.504197518e+01,5.105186783e+01,1.000209589e+01,5.938288700e+01,2.592838096e+00,8.423703705e+01,1.809721221e+01,5.750631141e+01,5.489479981e+01
8.976732154e+01,4.919975832e+00,7.332180849e+00,2.121001422e+01,2.795784155e+01,4.211120311e+01,1.864393179e+01,1.840015630e+01,4.599364016e+01,9.305815948e+01
9.585263349e+01,9.883115306e+01,3.389313893e+01,9.701510769e+01,9.205689017e+01,5.656080268e+01,9.144697941e+01,1.416913496e+01,5.171101297e+00,7.567042078e+01
5.674855108e+01,8.722923744e+01,7.171491797e+01,1.273374854e+01,9.978205249e+01,8.286712670e+01,4.429128001e+01,3.428141722e+01,1.493684028e+01,9.665623822e+01
3.889323324e-01,1.834986863e+01,8.946672141e+01,6.422330838e+01,7.688652818e+01,2.164089803e+01,3.906384320e+00,2.351427132e+01,5.787046660e+01,9.164582674e+01
6.831634245e+01,9.929919354e+01,3.570175358e+01,7.426036444e+01,2.875182890e+01,3.162796583e+01,5.699361719e+01,4.842751797e+01,2.289358698e+01,9.845032652e+01
6.884129136e+01,4.795802553e+01,2.150391206e+01,2.347480040e+01,7.944828897e+01,5.619252087e+01,7.590576125e+01,5.767415505e+01,2.689751933e+01,1.087293638e+01
8.689976905e+01,1.323687762e+01,7.257991865e+01,5.422718556e+01,9.533579040e+00,6.858894563e+01,3.287280412e+01,9.097366613e+01,3.755523951e+01,9.189158192e+01
4.986420247e+01,5.750576648e+01,6.647169301e+01,2.550043253e+01,3.522383172e+01,3.795785479e+01,3.617559079e+01,2.226792377e+01,7.830943755e+01,1.442383860e+01
2.977012237e+01,5.031116218e+01,6.125966313e+01,1.854168845e+01,7.911764912e+01,4.615924875e+01,8.762056067e+01,5.976548394e+01,3.381804100e+01,3.442971608e+01
7.072896535e+01,1.671654839e+01,7.604914828e+01,5.355791531e+01,3.390219350e+01,1.220481054e+01,8.372651961e+01,7.969131173e+01,6.249673664e+01,1.688730712e+01
7.534672966e+01,1.215015601e+01,2.698388991e+00,5.543637474e+01,8.384850098e+01,2.841233822e+01,4.091958577e+00,1.616894816e+01,3.478477174e+01,8.287130425e+01
5.782845298e+01,6.390205604e+01,3.224729618e+01,1.839746939e+00,7.000310867e+00,5.752174838e+01,5.258960941e+01,5.002979881e+01,3.116493009e+00,3.861000691e+01
4.440614268e+00,2.796585264e+00,4.360670904e+01,3.845336201e+01,5.291577553e+01,5.550412142e+01,1.594263106e+01,2.506785562e+01,2.535224358e+01,6.181735365e+01
7.778211879e+01,1.243490730e+01,4.130146047e+01,1.582617529e+01,9.926102987e+01,4.244092709e+01,7.933248005e+01,6.260247788e+01,3.630697387e+01,4.086784070e+01
7.922771304e+01,9.673407426e+01,3.259215910e+01,1.127184051e+01,4.503197109e+01,3.002142977e+01,9.670567485e+00,2.588735236e+01,4.469856475e+01,5.647730737e+01
5.244865569e+01,9.342219167e+01,7.476238888e+01,5.305866653e+01,4.270772507e+01,7.057691113e+01,4.698611682e+01,3.343423940e+01,6.446132547e+01,5.832680202e+01
4.587467670e+01,9.937149224e+01,2.049866800e+01,7.997170470e+01,2.435321531e+01,1.184012196e+01,5.153117509e+01,3.599949065e+01,7.604501726e+01,1.833732709e+01
4.522124466e+01,5.236483247e+01,8.369272200e+01,8.485056831e+01,2.963767900e+01,7.760567467e+01,3.985284528e+01,9.411989859e+01,9.693043308e+01,6.708650108e+01
8.731264603e+01,9.464329723e+01,3.792258599e+01,8.563542775e+01,3.882864062e-01,7.435173698e+01,6.935590849e+00,7.852202345e+00,8.300926722e+01,6.102700228e+01
5.082573653e+00,5.764722036e+00,6.095391576e+01,4.674465429e+01,9.293151442e+01,6.495756879e+01,2.537372665e+01,4.340229689e+01,9.619519608e+01,2.980032331e+01
8.188864692e+01,6.888892376e+01,2.871639476e+01,3.269133083e+01,3.749144828e+01,2.321920443e+01,2.586291236e+01,3.070396547e+01,2.205387092e+01,5.029916561e+01
4.631910614e+01,7.303254519e+00,8.996888480e+01,7.705800569e+01,3.415310745e+01,1.114988403e+01,8.380606892e+01,6.713853468e+01,2.637491256e+01,8.739017725e+01
3.955586573e+01,7.516214862e+01,6.247258956e+00,4.506920242e+01,3.803098852e+01,5.843843383e+01,5.999362258e+01,1.879356973e+01,1.073329796e+01,8.721894874e+01
1.394412893e+01,1.696742584e+01,9.509211443e+01,5.024973180e+01,9.163446711e+00,9.978191562e+01,6.012777191e+01,9.900031764e+01,7.667814772e+01,9.778337725e+00
4.818797297e+00,2.152386383e+01,9.849634870e+01,4.763540352e+00,9.195541757e+01,4.278388910e+01,6.628227524e+01,6.227481595e+01,8.178405737e+00,3.596532093e+00
4.302136271e+01,8.693272517e+01,9.033797408e+01,7.358144832e+00,5.442189184e+00,8.717259417e+00,8.396537137e+01,5.829863414e+01,7.340301481e+01,5.903056838e+01
5.361666692e+00,7.608381606e+01,7.441989183e+01,7.010123619e+00,3.089521929e+01,7.008037395e+01,4.983642209e+01,2.015932153e+01,4.405935611e+01,3.170129292e+01
6.790150685e+01,2.267646672e+01,6.185659933e+00,3.991098428e+01,5.683315025e+01,7.869461512e+00,4.923827739e+01,4.761372100e+01,8.205583545e+01,9.535639189e+01
5.136029012e+01,2.060772243e+01,8.119918527e+01,9.074725122e+01,3.810906338e+01,9.165680061e+01,4.008550321e+01,8.948962916e+01,4.791289822e+01,9.741502824e+01
4.451627347e+01,6.759340164e+01,6.654514305e+01,8.443227473e+01,6.072417832e+01,3.534799702e+01,7.923265696e+01,1.268275550e+01,8.114809248e+01,7.756398633e+01
6.647366094e+01,6.248170783e+01,1.643663102e+01,4.866693031e+01,7.323616125e+01,2.464216657e+00,1.431460362e+01,6.891976454e+01,1.874277659e+01,6.775739771e+01
7.122370182e+01,8.963787449e+01,8.397179047e+00,5.911682381e+01,6.773972111e+00,5.993764715e+01,5.210276056e+01,9.506134760e+01,3.575036410e+01,3.488522819e+01
4.089223427e+01,3.080924981e+01,6.892181933e+01,4.525516007e+01,2.951910425e+01,9.376168809e+01,7.043340792e+01,3.662163825e+01,8.042354809e+01,1.195880651e+01
7.058354754e+01,9.979954433e+01,4.220034254e+01,4.336163667e+01,7.532141361e+00,6.069279068e+01,3.520858586e+00,2.498120233e+01,1.200306227e+01,3.780302489e+01
4.126645489e+01,3.100101888e+01,4.781653050e+01,5.520435477e+01,8.929302711e+01,6.368593237e+01,8.847580444e+01,7.265176035e+01,5.443559378e+01,7.694394833e+01
5.356762600e+01,8.269260196e+01,4.675431178e+01,6.665756117e+01,8.977987542e+01,4.486696768e+01,6.164722904e+01,3.116618657e+01,6.933633893e+01,9.681600154e+01
